spike_number,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49
1,14.0625,14.0625,21.09375,22.734375,27.052083333333336,29.18732638888889,32.28156365740741,34.44909943415638,36.92014625085734,38.96738047585162,41.075840953682956,42.96770952079064,44.83647700468883,46.57804242424427,48.27128389082195,49.878788235808216,51.43401180438823,52.92482379084556,54.31712592731207,55.6616239926394,56.91612276424956,58.12263581099933,59.25451092724253,60.33781422956339,61.35917568354017,62.333449082657054,63.255128792832444,64.13263763629197,64.96446993587946,65.75563819777229,66.50646470949775,67.22019407978178,67.89788516734939,68.54184864007846,69.15337119023668,69.7342407902081,70.28592393487588,70.80985931512436,71.30749602958457,71.7800817386954,72.22894938201173,72.65522696236678,73.06010713623945,73.44462251673615,73.80983300066859,74.15668334070435,74.48611678687416,74.79899427315394,75.09615833823376
2,38.09836743889889,38.09836743889889,48.49980410268069,48.73619453833247,53.52357077475147,54.40625741174996,57.01983962381994,58.052493057183526,59.697971733927716,60.672024106872435,61.834907143508005,62.69255012984641,63.5851184901231,64.32479951258587,65.04791048449576,65.68465145129139,66.29093507964723,67.10525274844503,67.73328489938089,68.44661779228343,69.04212653520025,69.66352612256337,70.21158039408259,70.75736893665027,71.25494705992779,71.7384332352735,72.1876272011263,72.61882053591614,73.02371221131445,73.41024606603605,73.77541851480748,74.12331447064838,74.45319528314876,74.76735470724199,75.0659672895276,,,,,,,,,,,,,,
3,38.0862460233222,38.0862460233222,48.48579045455082,48.723020826888025,53.51011846983408,54.39357423491822,57.00740697449433,58.040728415198814,59.68663616056061,60.66128197607848,61.82464552076208,62.682830445500905,63.57588449617536,64.31607020017493,65.03965422991314,65.67686829571032,66.28360220674165,67.09825356350055,67.72665635887583,68.44030087076649,69.03613337375398,69.65782240753848,70.20616523548775,70.75221990184153,71.25005738079727,71.73378648729101,72.18321436057063,72.61462843830559,73.01973127813031,73.40646508187108,73.77182809277619,74.11990470014419,74.4499572709213,74.7642795222551,75.06304664469377,,,,,,,,,,,,,,
4,38.08507179341328,38.08507179341328,48.48442883001985,48.721727659993036,53.50879594312873,54.39231597609683,57.006173037596135,58.03955436952767,59.68550577530346,60.66020836279322,61.823621532182386,62.681860256305946,63.57496432023468,64.31520060204141,65.03883264162974,65.6760938243444,66.28287273642087,67.09755739948501,67.72599708421653,68.43967257433317,69.0355372128368,69.65725499635612,70.20562645847018,70.7517075754275,71.24957081626363,71.73332409134372,72.1827752241125,72.61421127679333,73.01933512823952,73.40608883978886,73.77147081549919,74.11956540624759,74.44963506919629,74.76397352618208,75.06275602653693,,,,,,,,,,,,,,
5,38.08495495239941,38.08495495239941,48.48429334190405,48.72159898332765,53.50866434451957,54.392190772164994,57.00605025353991,58.03943754488297,59.685393295029456,60.66010153169668,61.82351963904547,62.68176371659833,63.574872757171576,64.31511407182415,65.03875088869287,65.67601675984544,66.28280014979175,67.09748812704495,67.72593148248191,68.43961005511736,69.03547789129007,69.65719853557653,70.20557284695614,70.75165659590388,71.24952240019852,71.73327808019602,72.18273152742208,72.61416976674076,73.01929570896861,73.40605140146357,73.77143526428517,74.11953164448707,74.44960300820871,74.76394307775331,75.06272710830237,,,,,,,,,,,,,,
6,38.08494332602382,38.08494332602382,48.48427986003092,48.72158617923432,53.508651249675445,54.39217831362925,57.00603803579617,58.03942592013611,59.685382102573314,60.66009090136728,61.82350950007241,62.68175411032332,63.57486364610229,64.31510546155297,65.03874275378952,65.67600909146951,66.28279292699054,67.09748123402522,67.7259249547192,68.43960383408361,69.0354719884434,69.65719291739322,70.20556751229168,70.75165152313812,71.24951758251214,71.73327350181322,72.18272717934151,72.61416563624371,73.01929178651676,73.4060476761276,73.77143172672797,74.11952828499115,74.44959981794977,74.76394004795358,75.06272423076604,,,,,,,,,,,,,,
7,38.0849421691303,38.0849421691303,48.48427851850437,48.72158490515089,53.508649946660576,54.392177073930846,57.006036820058,58.03942476340466,59.685380988857354,60.660089843586285,61.8235084911843,62.68175315444182,63.57486273949673,64.31510460477978,65.03874194431825,65.6760083284205,66.28279220827883,67.09748054812877,67.72592430516798,68.43960321505375,69.03547140107503,69.65719235835056,70.20556698146083,70.75165101836775,71.24951710312365,71.73327304623689,72.18272674668162,72.61416522523467,73.01929139620944,73.4060473054345,73.77143137471995,74.1195279507013,74.44959950050003,74.76393974647048,75.06272394443403,,,,,,,,,,,,,,
8,38.084942054012515,38.084942054012515,48.48427838501449,48.72158477837202,53.50864981700285,54.39217695057349,57.006036699084845,58.03942464830301,59.685380878036,60.66008973833078,61.82350839079395,62.68175305932594,63.574862649284086,64.31510451952576,65.03874186377104,65.67600825249261,66.28279213676274,67.09748047987802,67.72592424053379,68.43960315345662,69.03547134262841,69.6571923027225,70.20556692864002,70.75165096814011,71.24951705542168,71.73327300090436,72.18272670362941,72.61416518433685,73.01929135737156,73.40604726854835,73.7714313396931,74.11952791743748,74.44959946891191,74.76393971647113,75.06272391594234,,,,,,,,,,,,,,
9,38.084942042557614,38.084942042557614,48.48427837173147,48.72158476575676,53.50864980410113,54.392176938298704,57.00603668704728,58.0394246368497,59.68538086700863,60.66008972785724,61.82350838080451,62.68175304986134,63.57486264030741,64.31510451104249,65.03874185575613,65.67600824493732,66.28279212964648,67.09748047308665,67.72592423410231,68.43960314732735,69.03547133681263,69.65719229718718,70.20556692338405,70.75165096314217,71.24951705067505,71.7332729963935,72.18272669934548,72.61416518026726,73.01929135350696,73.40604726487796,73.77143133620773,74.11952791412757,74.44959946576873,74.76393971348602,75.06272391310726,,,,,,,,,,,,,,
10,38.08494204141779,38.08494204141779,48.48427837040972,48.72158476450148,53.50864980281734,54.39217693707729,57.00603668584947,58.039424635710034,59.68538086591133,60.66008972681505,61.82350837981049,62.68175304891957,63.57486263941415,64.31510451019835,65.03874185495857,65.67600824418551,66.28279212893837,67.09748047241087,67.72592423346231,68.43960314671742,69.03547133623391,69.65719229663637,70.20556692286101,70.75165096264482,71.24951705020271,71.73327299594462,72.18272669891917,72.61416517986231,73.01929135312238,73.40604726451272,73.77143133586088,74.11952791379817,74.44959946545593,74.76393971318898,75.06272391282512,,,,,,,,,,,,,,
