episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
0,21,21.0,0.8527979086961658,,,,,0,0,0,0
1,26,26.0,0.8402765174995304,,,,,0,0,0,0
2,36,36.0,0.8232441673855122,,,,,0,0,0,0
3,32,32.0,0.8083963236900786,,,,,0,0,0,0
4,29,29.0,0.7951735109529952,,,,,0,0,0,0
5,12,12.0,0.7897659197412791,,,,,0,0,0,0
6,23,23.0,0.7795046799984099,,,,,0,0,0,0
7,13,13.0,0.7737643620078706,,,,,0,0,0,0
8,13,13.0,0.7680666253528027,,,,,0,0,0,0
9,11,11.0,0.7632784882355577,,,,,0,0,0,0
10,29,29.0,0.7507988662949017,,,,,0,0,0,0
11,11,11.0,0.7461191760650933,,,,,0,0,0,0
12,19,19.0,0.7381051934821465,,,,,0,0,0,0
13,10,10.0,0.7339222060457816,,,,,0,0,0,0
14,9,9.0,0.7301779464016996,,,,,0,0,0,0
15,9,9.0,0.7264529374073603,,,,,0,0,0,0
16,14,14.0,0.7206965096165869,,,,,0,0,0,0
17,24,24.0,0.7109351003157782,,,,,0,0,0,0
18,14,14.0,0.7053026021085517,,,,,0,0,0,0
19,12,12.0,0.7005105626522811,,,,,0,0,0,0
20,23,23.0,0.6914173705464234,,,,,0,0,0,0
21,13,13.0,0.6863304789480706,,,,,0,0,0,0
22,17,17.0,0.679735282866944,,,,,0,0,0,0
23,13,13.0,0.6747350482961822,,,,,0,0,0,0
24,14,14.0,0.6693916533541002,,,,,0,0,0,0
25,25,25.0,0.6599557947021345,,,,,0,0,0,0
26,11,11.0,0.6558466271629878,,,,,0,0,0,0
27,12,12.0,0.651393325932317,,,,,0,0,0,0
28,12,12.0,0.6469705266452151,,,,,0,0,0,0
29,10,10.0,0.6433080099023173,,,,,0,0,0,0
30,12,12.0,0.6389405892748906,,,,,0,0,0,0
31,11,11.0,0.6349634037497264,,,,,0,0,0,0
32,19,19.0,0.6281524624346816,,,,,0,0,0,0
33,10,10.0,0.6245974157826865,,,,,0,0,0,0
34,10,10.0,0.6210626720259617,,,,,0,0,0,0
35,12,12.0,0.61684761612875,,,,,0,0,0,0
36,11,11.0,0.6130091813334219,,,,,0,0,0,0
37,9,9.0,0.609886581111842,,,,,0,0,0,0
38,18,18.0,0.603689461519824,,,,,0,0,0,0
39,30,30.0,0.5935018503169993,,,,,0,0,0,0
40,13,13.0,0.5891412901904626,,,,,0,0,0,0
41,11,11.0,0.5854768597230983,,,,,0,0,0,0
42,17,17.0,0.5798588640112496,,,,,0,0,0,0
43,14,14.0,0.5752731755676661,,,,,0,0,0,0
44,10,10.0,0.5720201228775842,,,,,0,0,0,0
45,11,11.0,0.5684632186559903,,,,,0,0,0,0
46,53,53.0,0.5516360234555666,,,,,0,0,0,0
47,14,14.0,0.5472757301399206,,,,,0,0,0,0
48,12,12.0,0.5435660622730617,,,,,0,0,0,0
