episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
0,27,27.0,0.8498917852671453,,,,,0,0,0,0
1,39,39.0,0.8312434680245812,,,,,0,0,0,0
2,35,35.0,0.8148587841388746,,,,,0,0,0,0
3,17,17.0,0.8070182395193383,,,,,0,0,0,0
4,30,30.0,0.7933668494675832,,,,,0,0,0,0
5,17,17.0,0.7857345465220559,,,,,0,0,0,0
6,14,14.0,0.7795046799984099,,,,,0,0,0,0
7,11,11.0,0.7746447083471939,,,,,0,0,0,0
8,14,14.0,0.7685034082273902,,,,,0,0,0,0
9,16,16.0,0.761544813040268,,,,,0,0,0,0
10,41,41.0,0.7440017709354034,,,,,0,0,0,0
11,19,19.0,0.7360107050728287,,,,,0,0,0,0
12,19,19.0,0.7281061266846061,,,,,0,0,0,0
13,9,9.0,0.7243917696961354,,,,,0,0,0,0
14,16,16.0,0.7178355583744741,,,,,0,0,0,0
15,21,21.0,0.7093212039878856,,,,,0,0,0,0
16,23,23.0,0.7001127106930769,,,,,0,0,0,0
17,10,10.0,0.696146698580703,,,,,0,0,0,0
18,45,45.0,0.6785780759652111,,,,,0,0,0,0
19,10,10.0,0.6747350482961822,,,,,0,0,0,0
20,8,8.0,0.6716764344286287,,,,,0,0,0,0
21,15,15.0,0.6659791695978143,,,,,0,0,0,0
22,14,14.0,0.6607057014370402,,,,,0,0,0,0
23,19,19.0,0.6536161506912536,,,,,0,0,0,0
24,10,10.0,0.6499156807448623,,,,,0,0,0,0
25,11,11.0,0.6458695682381911,,,,,0,0,0,0
26,21,21.0,0.6382155996662399,,,,,0,0,0,0
27,21,21.0,0.6306531377347518,,,,,0,0,0,0
28,34,34.0,0.6186003695010956,,,,,0,0,0,0
29,20,20.0,0.611619371678759,,,,,0,0,0,0
30,11,11.0,0.6078137718816178,,,,,0,0,0,0
31,11,11.0,0.604032072432602,,,,,0,0,0,0
32,12,12.0,0.5999336640202193,,,,,0,0,0,0
33,22,22.0,0.5924926836064303,,,,,0,0,0,0
34,15,15.0,0.5874727777652354,,,,,0,0,0,0
35,10,10.0,0.5841500530651911,,,,,0,0,0,0
36,13,13.0,0.5798588640112496,,,,,0,0,0,0
37,22,22.0,0.5726692437532304,,,,,0,0,0,0
38,10,10.0,0.569431062135203,,,,,0,0,0,0
39,11,11.0,0.5658904180188117,,,,,0,0,0,0
40,13,13.0,0.5617346778453642,,,,,0,0,0,0
41,12,12.0,0.5579259764786063,,,,,0,0,0,0
42,18,18.0,0.5522617814691018,,,,,0,0,0,0
43,22,22.0,0.5454177092097419,,,,,0,0,0,0
44,16,16.0,0.5404940891196375,,,,,0,0,0,0
45,22,22.0,0.5337973622376009,,,,,0,0,0,0
46,14,14.0,0.5295795332256286,,,,,0,0,0,0
47,38,38.0,0.5183001648299925,,,,,0,0,0,0
48,13,13.0,0.5144974463078803,,,,,0,0,0,0
49,10,10.0,0.5115914842151712,,10.9,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,13.0|11.0|13.0|10.0|11.0|10.0|12.0|12.0|9.0|10.0|12.0|12.0|9.0|10.0|12.0|12.0|9.0|10.0|13.0|9.0|11.0|11.0|12.0|9.0|11.0|12.0|11.0|9.0|13.0|9.0,0,10.9,0,1
50,16,16.0,0.5069764250314504,,10.9,,,0,10.9,0,0
51,14,14.0,0.502972795173566,,10.9,,,0,10.9,0,0
52,18,18.0,0.49787221757019984,,10.9,,,0,10.9,0,0
53,12,12.0,0.49450092859900907,,10.9,,,0,10.9,0,0
54,15,15.0,0.4903192704471907,,10.9,,,0,10.9,0,0
55,12,12.0,0.4869997137876026,,10.9,,,0,10.9,0,0
56,28,28.0,0.479342232685631,,10.9,,,0,10.9,0,0
57,14,14.0,0.4755592968541663,,10.9,,,0,10.9,0,0
58,11,11.0,0.472608196565018,,10.9,,,0,10.9,0,0
59,17,17.0,0.46808381851573394,,10.9,,,0,10.9,0,0
60,16,16.0,0.4638656337915486,,10.9,,,0,10.9,0,0
61,16,16.0,0.4596859271092375,,10.9,,,0,10.9,0,0
62,16,16.0,0.45554434747428435,,10.9,,,0,10.9,0,0
63,11,11.0,0.4527189472806244,,10.9,,,0,10.9,0,0
64,12,12.0,0.44965692607080626,,10.9,,,0,10.9,0,0
65,22,22.0,0.4440975875285509,,10.9,,,0,10.9,0,0
66,22,22.0,0.4386078584569419,,10.9,,,0,10.9,0,0
67,13,13.0,0.43539629269636065,,10.9,,,0,10.9,0,0
68,9,9.0,0.43318686726336697,,10.9,,,0,10.9,0,0
69,18,18.0,0.4288020364600884,,10.9,,,0,10.9,0,0
70,16,16.0,0.4249421779244563,,10.9,,,0,10.9,0,0
71,11,11.0,0.4223089688556179,,10.9,,,0,10.9,0,0
72,10,10.0,0.41992949577586713,,10.9,,,0,10.9,0,0
73,11,11.0,0.41732776790704434,,10.9,,,0,10.9,0,0
74,16,16.0,0.4135725769985383,,10.9,,,0,10.9,0,0
75,11,11.0,0.4110107725530605,,10.9,,,0,10.9,0,0
76,10,10.0,0.4086958235481608,,10.9,,,0,10.9,0,0
77,11,11.0,0.4061646466282766,,10.9,,,0,10.9,0,0
78,24,24.0,0.40069712052837364,,10.9,,,0,10.9,0,0
79,14,14.0,0.39754226552673805,,10.9,,,0,10.9,0,0
80,10,10.0,0.39530423525578734,,10.9,,,0,10.9,0,0
81,13,13.0,0.3924138931817163,,10.9,,,0,10.9,0,0
82,18,18.0,0.3884472430432639,,10.9,,,0,10.9,0,0
83,14,14.0,0.38539021882862967,,10.9,,,0,10.9,0,0
84,9,9.0,0.3834378934646828,,10.9,,,0,10.9,0,0
85,12,12.0,0.38085039815922966,,10.9,,,0,10.9,0,0
86,16,16.0,0.3774279517492208,,10.9,,,0,10.9,0,0
87,12,12.0,0.37488162026664024,,10.9,,,0,10.9,0,0
88,13,13.0,0.3721427719288905,,10.9,,,0,10.9,0,0
89,13,13.0,0.36942424020427406,,10.9,,,0,10.9,0,0
90,13,13.0,0.36672587438536985,,10.9,,,0,10.9,0,0
91,15,15.0,0.3636372382326618,,10.9,,,0,10.9,0,0
92,13,13.0,0.3609818000482081,,10.9,,,0,10.9,0,0
93,10,10.0,0.3589525668407847,,10.9,,,0,10.9,0,0
94,13,13.0,0.35633187926848187,,10.9,,,0,10.9,0,0
95,18,18.0,0.3527352978068026,,10.9,,,0,10.9,0,0
96,10,10.0,0.35075316042898197,,10.9,,,0,10.9,0,0
97,16,16.0,0.3476052593149727,,10.9,,,0,10.9,0,0
98,11,11.0,0.3454577501032502,,10.9,,,0,10.9,0,0
99,18,18.0,0.34197269718875556,16.34,14.733333333333333,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,17.0|15.0|18.0|13.0|15.0|13.0|17.0|17.0|13.0|13.0|16.0|17.0|12.0|14.0|16.0|16.0|13.0|12.0|16.0|12.0|14.0|14.0|17.0|13.0|15.0|17.0|15.0|13.0|17.0|12.0,16.34,14.733333333333333,1,1
100,15,15.0,0.33909580633633546,16.22,14.733333333333333,,,16.34,14.733333333333333,0,0
101,12,12.0,0.33681202276500094,15.95,14.733333333333333,,,16.34,14.733333333333333,0,0
102,19,19.0,0.3332279801339841,15.79,14.733333333333333,,,16.34,14.733333333333333,0,0
103,17,17.0,0.33005409798175506,15.79,14.733333333333333,,,16.34,14.733333333333333,0,0
104,21,21.0,0.32617584555206863,15.7,14.733333333333333,,,16.34,14.733333333333333,0,0
105,10,10.0,0.32434538938418606,15.63,14.733333333333333,,,16.34,14.733333333333333,0,0
106,13,13.0,0.32198141578407635,15.62,14.733333333333333,,,16.34,14.733333333333333,0,0
107,14,14.0,0.3194552053834876,15.65,14.733333333333333,,,16.34,14.733333333333333,0,0
108,21,21.0,0.31570366748694584,15.72,14.733333333333333,,,16.34,14.733333333333333,0,0
109,21,21.0,0.3119969809150805,15.77,14.733333333333333,,,16.34,14.733333333333333,0,0
110,11,11.0,0.31007310274583977,15.47,14.733333333333333,,,16.34,14.733333333333333,0,0
