episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
0,38,38.0,0.8961924457616912,,,,,0,0,0,0
1,10,10.0,0.892636805640402,,,,,0,0,0,0
2,21,21.0,0.8852196404411966,,,,,0,0,0,0
3,9,9.0,0.8820613415435239,,,,,0,0,0,0
4,12,12.0,0.8778692817662849,,,,,0,0,0,0
5,19,19.0,0.8712760208204401,,,,,0,0,0,0
6,16,16.0,0.8657655110511184,,,,,0,0,0,0
7,36,36.0,0.8535048809001775,,,,,0,0,0,0
8,15,15.0,0.8484521459886548,,,,,0,0,0,0
9,37,37.0,0.8361274610702515,,,,,0,0,0,0
10,17,17.0,0.8305303067226187,,,,,0,0,0,0
11,12,12.0,0.8266039843944298,,,,,0,0,0,0
12,16,16.0,0.8214003658926246,,,,,0,0,0,0
13,44,44.0,0.8072740039664678,,,,,0,0,0,0
14,11,11.0,0.8037840590553528,,,,,0,0,0,0
15,13,13.0,0.799680846479537,,,,,0,0,0,0
16,33,33.0,0.789367632124598,,,,,0,0,0,0
17,16,16.0,0.7844198226760625,,,,,0,0,0,0
18,18,18.0,0.7788941550606783,,,,,0,0,0,0
19,11,11.0,0.7755383935817657,,,,,0,0,0,0
20,15,15.0,0.7709879104427922,,,,,0,0,0,0
21,14,14.0,0.7667672441337176,,,,,0,0,0,0
22,14,14.0,0.7625719597618034,,,,,0,0,0,0
23,11,11.0,0.7592933716390121,,,,,0,0,0,0
24,37,37.0,0.7483787338860952,,,,,0,0,0,0
25,17,17.0,0.7434219408681778,,,,,0,0,0,0
26,27,27.0,0.7356236295324421,,,,,0,0,0,0
27,11,11.0,0.7324724564446744,,,,,0,0,0,0
28,39,39.0,0.7214196897660228,,,,,0,0,0,0
29,9,9.0,0.7188953180721649,,,,,0,0,0,0
30,19,19.0,0.7135981260005456,,,,,0,0,0,0
31,18,18.0,0.708619576057089,,,,,0,0,0,0
32,21,21.0,0.702859856956015,,,,,0,0,0,0
33,19,19.0,0.6976933973738774,,,,,0,0,0,0
34,13,13.0,0.6941827411917695,,,,,0,0,0,0
35,20,20.0,0.688819981746309,,,,,0,0,0,0
36,22,22.0,0.682974075263265,,,,,0,0,0,0
37,10,10.0,0.6803351077188281,,,,,0,0,0,0
38,20,20.0,0.6750911603553608,,,,,0,0,0,0
39,17,17.0,0.6706691959274838,,,,,0,0,0,0
40,13,13.0,0.6673094801118332,,,,,0,0,0,0
41,12,12.0,0.6642248619381629,,,,,0,0,0,0
42,11,11.0,0.6614112710455159,,,,,0,0,0,0
43,13,13.0,0.6581032642351099,,,,,0,0,0,0
44,9,9.0,0.6558239353781206,,,,,0,0,0,0
45,18,18.0,0.6512917074257293,,,,,0,0,0,0
46,23,23.0,0.6455514429561554,,,,,0,0,0,0
47,12,12.0,0.6425790275610667,,,,,0,0,0,0
48,10,10.0,0.640113727193537,,,,,0,0,0,0
49,12,12.0,0.6371693532441602,,9.3,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,10.0|9.0|11.0|9.0|9.0|9.0|10.0|10.0|8.0|8.0|10.0|10.0|9.0|9.0|10.0|10.0|9.0|9.0|10.0|8.0|9.0|9.0|10.0|8.0|9.0|10.0|10.0|9.0|10.0|8.0,0,9.3,0,1
50,12,12.0,0.6342401629685654,,9.3,,,0,9.3,0,0
51,10,10.0,0.631810713210325,,9.3,,,0,9.3,0,0
52,11,11.0,0.6291503804179115,,9.3,,,0,9.3,0,0
53,17,17.0,0.6250636766812484,,9.3,,,0,9.3,0,0
54,16,16.0,0.6212446147261806,,9.3,,,0,9.3,0,0
55,14,14.0,0.6179244637963727,,9.3,,,0,9.3,0,0
56,34,34.0,0.6099441279837177,,9.3,,,0,9.3,0,0
57,10,10.0,0.6076191322129306,,9.3,,,0,9.3,0,0
58,13,13.0,0.6046115748039258,,9.3,,,0,9.3,0,0
59,16,16.0,0.6009330162145129,,9.3,,,0,9.3,0,0
60,11,11.0,0.598418676988702,,9.3,,,0,9.3,0,0
61,24,24.0,0.5929740336100788,,9.3,,,0,9.3,0,0
62,11,11.0,0.5904973254374228,,9.3,,,0,9.3,0,0
63,16,16.0,0.586915729964641,,9.3,,,0,9.3,0,0
64,35,35.0,0.5791665381627132,,9.3,,,0,9.3,0,0
65,22,22.0,0.5743550904200166,,9.3,,,0,9.3,0,0
66,11,11.0,0.5719664149112946,,9.3,,,0,9.3,0,0
67,22,22.0,0.5672228923534857,,9.3,,,0,9.3,0,0
68,18,18.0,0.5633751325607899,,9.3,,,0,9.3,0,0
69,16,16.0,0.5599798631392845,,9.3,,,0,9.3,0,0
70,24,24.0,0.5549306434017871,,9.3,,,0,9.3,0,0
71,11,11.0,0.5526338090786257,,9.3,,,0,9.3,0,0
72,8,8.0,0.5509702080315461,,9.3,,,0,9.3,0,0
73,13,13.0,0.5482790562485251,,9.3,,,0,9.3,0,0
74,13,13.0,0.5456029355640966,,9.3,,,0,9.3,0,0
75,12,12.0,0.5431459389158473,,9.3,,,0,9.3,0,0
76,21,21.0,0.5388766434824073,,9.3,,,0,9.3,0,0
77,11,11.0,0.536655714454475,,9.3,,,0,9.3,0,0
78,22,22.0,0.532245309229981,,9.3,,,0,9.3,0,0
79,11,11.0,0.5300557339697528,,9.3,,,0,9.3,0,0
80,11,11.0,0.5278765112918962,,9.3,,,0,9.3,0,0
81,13,13.0,0.5253143465228172,,9.3,,,0,9.3,0,0
82,12,12.0,0.5229619749401306,,9.3,,,0,9.3,0,0
83,12,12.0,0.5206217341680475,,9.3,,,0,9.3,0,0
84,10,10.0,0.5186807549748105,,9.3,,,0,9.3,0,0
85,11,11.0,0.5165553146031188,,9.3,,,0,9.3,0,0
86,12,12.0,0.5142481119716591,,9.3,,,0,9.3,0,0
87,12,12.0,0.5119528072216188,,9.3,,,0,9.3,0,0
88,12,12.0,0.5096693389974934,,9.3,,,0,9.3,0,0
89,13,13.0,0.5072088681587132,,9.3,,,0,9.3,0,0
90,12,12.0,0.5049498636828786,,9.3,,,0,9.3,0,0
91,19,19.0,0.5013969071940715,,9.3,,,0,9.3,0,0
92,13,13.0,0.4989826410096779,,9.3,,,0,9.3,0,0
93,9,9.0,0.49731912974808334,,9.3,,,0,9.3,0,0
94,12,12.0,0.49511112509917143,,9.3,,,0,9.3,0,0
95,11,11.0,0.4930971248497633,,9.3,,,0,9.3,0,0
96,11,11.0,0.49109264704238154,,9.3,,,0,9.3,0,0
97,11,11.0,0.4890976466537436,,9.3,,,0,9.3,0,0
