episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
0,22,22.0,0.9019134306805161,,,,0,0,0,0
1,42,42.0,0.8869795499679829,,,,0,0,0,0
2,13,13.0,0.8824116591699126,,,,0,0,0,0
3,29,29.0,0.8723134771241385,,,,0,0,0,0
4,18,18.0,0.8661088061262292,,,,0,0,0,0
5,13,13.0,0.8616574863110227,,,,0,0,0,0
6,18,18.0,0.8555351358611859,,,,0,0,0,0
7,11,11.0,0.8518170063553927,,,,0,0,0,0
8,37,37.0,0.8394391061269204,,,,0,0,0,0
9,11,11.0,0.8357970806385144,,,,0,0,0,0
10,19,19.0,0.8295468222138673,,,,0,0,0,0
11,11,11.0,0.8259515686660794,,,,0,0,0,0
12,12,12.0,0.822048858170551,,,,0,0,0,0
13,12,12.0,0.818166273339781,,,,0,0,0,0
14,23,23.0,0.8107805281572178,,,,0,0,0,0
15,11,11.0,0.8072740039664678,,,,0,0,0,0
16,9,9.0,0.8044173648628079,,,,0,0,0,0
17,13,13.0,0.8003106150349905,,,,0,0,0,0
18,32,32.0,0.7902991495915408,,,,0,0,0,0
19,17,17.0,0.7850364351773275,,,,0,0,0,0
20,15,15.0,0.7804247666702403,,,,0,0,0,0
21,15,15.0,0.7758428060384436,,,,0,0,0,0
22,12,12.0,0.7721984985577586,,,,0,0,0,0
23,12,12.0,0.7685729841980896,,,,0,0,0,0
24,14,14.0,0.7643668405974458,,,,0,0,0,0
25,15,15.0,0.7598883234079653,,,,0,0,0,0
26,14,14.0,0.7557344069909679,,,,0,0,0,0
27,13,13.0,0.7518995698602189,,,,0,0,0,0
28,18,18.0,0.7466251304114319,,,,0,0,0,0
29,18,18.0,0.741391437501734,,,,0,0,0,0
30,15,15.0,0.7370609254017061,,,,0,0,0,0
31,17,17.0,0.7321867260250083,,,,0,0,0,0
32,13,13.0,0.7284834115814799,,,,0,0,0,0
33,13,13.0,0.7248007815470847,,,,0,0,0,0
34,16,16.0,0.720296538235188,,,,0,0,0,0
35,13,13.0,0.7166596349788987,,,,0,0,0,0
36,16,16.0,0.7122113203192247,,,,0,0,0,0
37,10,10.0,0.7094466554406281,,,,0,0,0,0
38,13,13.0,0.7058703528754741,,,,0,0,0,0
39,11,11.0,0.702859856956015,,,,0,0,0,0
40,14,14.0,0.6990488941974784,,,,0,0,0,0
41,11,11.0,0.6960706509774991,,,,0,0,0,0
42,10,10.0,0.6933753783793285,,,,0,0,0,0
43,29,29.0,0.6856244372958425,,,,0,0,0,0
44,12,12.0,0.6824453717659634,,,,0,0,0,0
45,14,14.0,0.6787571761589407,,,,0,0,0,0
46,11,11.0,0.6758748746890648,,,,0,0,0,0
47,14,14.0,0.6722261922611722,,,,0,0,0,0
48,13,13.0,0.6688577800332466,,,,0,0,0,0
