episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
0,12,12.0,0.8728502685650492,,,,0,0,0,0
1,12,12.0,0.8683079172152122,,,,0,0,0,0
2,15,15.0,0.8626649949006109,,,,0,0,0,0
3,18,18.0,0.8559444944367618,,,,0,0,0,0
4,22,22.0,0.8478054822603813,,,,0,0,0,0
5,18,18.0,0.8412070583446629,,,,0,0,0,0
6,12,12.0,0.8368382525013272,,,,0,0,0,0
7,18,18.0,0.8303299285494472,,,,0,0,0,0
8,17,17.0,0.8242322808090736,,,,0,0,0,0
9,17,17.0,0.8181819553646494,,,,0,0,0,0
10,19,19.0,0.8114753761580138,,,,0,0,0,0
11,13,13.0,0.8069201964107311,,,,0,0,0,0
12,16,16.0,0.8013509495122682,,,,0,0,0,0
13,32,32.0,0.7903342235904676,,,,0,0,0,0
14,11,11.0,0.7865843850686363,,,,0,0,0,0
15,8,8.0,0.7838690788237341,,,,0,0,0,0
16,12,12.0,0.7798147400849811,,,,0,0,0,0
17,23,23.0,0.7721059721671877,,,,0,0,0,0
18,10,10.0,0.7687795954971337,,,,0,0,0,0
19,17,17.0,0.763159624264246,,,,0,0,0,0
20,14,14.0,0.7585641767521505,,,,0,0,0,0
21,11,11.0,0.7549740958426434,,,,0,0,0,0
22,16,16.0,0.749784362139891,,,,0,0,0,0
23,9,9.0,0.7468818169014342,,,,0,0,0,0
24,20,20.0,0.7404744191027612,,,,0,0,0,0
25,15,15.0,0.7357072652038643,,,,0,0,0,0
26,12,12.0,0.7319170673749764,,,,0,0,0,0
27,17,17.0,0.7265831768636264,,,,0,0,0,0
28,9,9.0,0.723776131452317,,,,0,0,0,0
29,18,18.0,0.718196655827847,,,,0,0,0,0
30,40,40.0,0.7059613817012598,,,,0,0,0,0
31,16,16.0,0.701129730156183,,,,0,0,0,0
32,12,12.0,0.6975291709825269,,,,0,0,0,0
33,18,18.0,0.6921653241213046,,,,0,0,0,0
34,21,21.0,0.6859631719009904,,,,0,0,0,0
35,12,12.0,0.6824457929108854,,,,0,0,0,0
36,23,23.0,0.6757579801599505,,,,0,0,0,0
37,31,31.0,0.666854789817455,,,,0,0,0,0
38,19,19.0,0.661460187821465,,,,0,0,0,0
39,22,22.0,0.655272210155601,,,,0,0,0,0
40,13,13.0,0.6516448966040167,,,,0,0,0,0
41,30,30.0,0.6433561946115813,,,,0,0,0,0
42,40,40.0,0.6324803825094281,,,,0,0,0,0
43,10,10.0,0.6297924390622005,,,,0,0,0,0
44,21,21.0,0.6241876964311577,,,,0,0,0,0
45,11,11.0,0.621273335823791,,,,0,0,0,0
46,14,14.0,0.6175853352031935,,,,0,0,0,0
47,11,11.0,0.6147041749707225,,,,0,0,0,0
48,16,16.0,0.6105392397677611,,,,0,0,0,0
49,23,23.0,0.6046053980629666,,11.4,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,0,11.4,0,1
50,13,13.0,0.6012790516645314,,11.4,,0,11.4,0,0
51,11,11.0,0.5984798885703484,,11.4,,0,11.4,0,0
52,24,24.0,0.5924213848907749,,11.4,,0,11.4,0,0
53,23,23.0,0.5866775166640337,,11.4,,0,11.4,0,0
54,18,18.0,0.5822243583052826,,11.4,,0,11.4,0,0
55,12,12.0,0.5792759293308016,,11.4,,0,11.4,0,0
56,10,10.0,0.5768312614220681,,11.4,,0,11.4,0,0
57,14,14.0,0.5734274942021105,,11.4,,0,11.4,0,0
58,14,14.0,0.5700454960904793,,11.4,,0,11.4,0,0
59,13,13.0,0.5669244397997133,,11.4,,0,11.4,0,0
60,12,12.0,0.5640599224159963,,11.4,,0,11.4,0,0
61,21,21.0,0.5590847680384738,,11.4,,0,11.4,0,0
62,27,27.0,0.5527580965537167,,11.4,,0,11.4,0,0
63,14,14.0,0.5495082914880192,,11.4,,0,11.4,0,0
64,13,13.0,0.5465092287418942,,11.4,,0,11.4,0,0
65,16,16.0,0.5428425192323263,,11.4,,0,11.4,0,0
66,14,14.0,0.5396561301592282,,11.4,,0,11.4,0,0
67,33,33.0,0.5322257543704543,,11.4,,0,11.4,0,0
68,11,11.0,0.5297738299805435,,11.4,,0,11.4,0,0
69,16,16.0,0.5262293876786381,,11.4,,0,11.4,0,0
70,18,18.0,0.5222728336908486,,11.4,,0,11.4,0,0
71,13,13.0,0.5194355529448016,,11.4,,0,11.4,0,0
72,12,12.0,0.5168314858398335,,11.4,,0,11.4,0,0
73,18,18.0,0.5129521391901265,,11.4,,0,11.4,0,0
74,22,22.0,0.5082539697921464,,11.4,,0,11.4,0,0
75,19,19.0,0.5042344061820967,,11.4,,0,11.4,0,0
76,13,13.0,0.5015042759345784,,11.4,,0,11.4,0,0
77,11,11.0,0.4992068363670212,,11.4,,0,11.4,0,0
78,25,25.0,0.49402825619017626,,11.4,,0,11.4,0,0
79,25,25.0,0.4889086703611354,,11.4,,0,11.4,0,0
80,18,18.0,0.48525872026098277,,11.4,,0,11.4,0,0
81,9,9.0,0.4834450053031676,,11.4,,0,11.4,0,0
82,38,38.0,0.47586903997407354,,11.4,,0,11.4,0,0
83,26,26.0,0.47076098351012535,,11.4,,0,11.4,0,0
84,16,16.0,0.4676476833672472,,11.4,,0,11.4,0,0
85,28,28.0,0.4622540393939561,,11.4,,0,11.4,0,0
86,14,14.0,0.45958306140337823,,11.4,,0,11.4,0,0
87,19,19.0,0.45598546514067545,,11.4,,0,11.4,0,0
88,17,17.0,0.45279300973656095,,11.4,,0,11.4,0,0
89,12,12.0,0.4505544401217352,,11.4,,0,11.4,0,0
90,39,39.0,0.44336353091561337,,11.4,,0,11.4,0,0
91,22,22.0,0.4393634629667694,,11.4,,0,11.4,0,0
92,36,36.0,0.4329042700125206,,11.4,,0,11.4,0,0
93,14,14.0,0.43042100118879817,,11.4,,0,11.4,0,0
94,9,9.0,0.428833007142661,,11.4,,0,11.4,0,0
95,101,101.0,0.4114542278133752,,11.4,,0,11.4,0,0
96,33,33.0,0.4059481562071623,,11.4,,0,11.4,0,0
97,19,19.0,0.40281556418251635,,11.4,,0,11.4,0,0
98,38,38.0,0.3966316215683022,,11.4,,0,11.4,0,0
99,15,15.0,0.39422008389280916,18.94,11.633333333333333,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,18.94,11.633333333333333,1,1
100,22,22.0,0.39071301490504273,19.04,11.633333333333333,,19.04,11.633333333333333,1,0
101,23,23.0,0.38708414543829955,19.15,11.633333333333333,,19.15,11.633333333333333,1,0
102,13,13.0,0.3850499022815703,19.13,11.633333333333333,,19.15,11.633333333333333,0,0
103,44,44.0,0.3782540112790964,19.39,11.633333333333333,,19.39,11.633333333333333,1,0
104,13,13.0,0.37627222021536555,19.3,11.633333333333333,,19.39,11.633333333333333,0,0
105,11,11.0,0.37460451765480635,19.23,11.633333333333333,,19.39,11.633333333333333,0,0
106,12,12.0,0.37279476867373984,19.23,11.633333333333333,,19.39,11.633333333333333,0,0
107,10,10.0,0.3712942287946487,19.15,11.633333333333333,,19.39,11.633333333333333,0,0
108,24,24.0,0.36772086694103806,19.22,11.633333333333333,,19.39,11.633333333333333,0,0
109,18,18.0,0.36506652073956386,19.23,11.633333333333333,,19.39,11.633333333333333,0,0
110,11,11.0,0.3634551667201883,19.15,11.633333333333333,,19.39,11.633333333333333,0,0
111,33,33.0,0.35866955863542493,19.35,11.633333333333333,,19.39,11.633333333333333,0,0
112,19,19.0,0.35594686289305666,19.38,11.633333333333333,,19.39,11.633333333333333,0,0
113,18,18.0,0.3533892446130597,19.24,11.633333333333333,,19.39,11.633333333333333,0,0
114,13,13.0,0.3515551533498118,19.26,11.633333333333333,,19.39,11.633333333333333,0,0
115,22,22.0,0.34847609191353807,19.4,11.633333333333333,,19.4,11.633333333333333,1,0
116,32,32.0,0.34405251321660413,19.6,11.633333333333333,,19.6,11.633333333333333,1,0
117,12,12.0,0.34241032508185887,19.49,11.633333333333333,,19.6,11.633333333333333,0,0
118,14,14.0,0.3405058186595588,19.53,11.633333333333333,,19.6,11.633333333333333,0,0
119,16,16.0,0.33834415017583575,19.52,11.633333333333333,,19.6,11.633333333333333,0,0
120,16,16.0,0.3361982746333605,19.54,11.633333333333333,,19.6,11.633333333333333,0,0
121,31,31.0,0.33208515258109256,19.74,11.633333333333333,,19.74,11.633333333333333,1,0
122,55,55.0,0.32492995007005737,20.13,11.633333333333333,,20.13,11.633333333333333,1,0
123,27,27.0,0.32148285039762303,20.31,11.633333333333333,,20.31,11.633333333333333,1,0
124,50,50.0,0.3152108805349434,20.61,11.633333333333333,,20.61,11.633333333333333,1,0
125,36,36.0,0.3107832295875364,20.82,11.633333333333333,,20.82,11.633333333333333,1,0
126,26,26.0,0.30763060847034096,20.96,11.633333333333333,,20.96,11.633333333333333,1,0
127,44,44.0,0.30238024135855934,21.23,11.633333333333333,,21.23,11.633333333333333,1,0
128,74,74.0,0.29378537555159967,21.88,11.633333333333333,,21.88,11.633333333333333,1,0
