seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,500.0,500.0,489.45222222222225,1258,1500
43,500.0,256.39,364.93079365079365,,1500
44,500.0,471.8,420.51497354497354,,1500
45,500.0,363.79,287.16555555555556,,1500
46,498.6,374.42,400.10640211640214,,1500
47,496.81,395.47,426.5746560846561,,1500
48,500.0,492.48,499.63687830687826,835,1500
49,500.0,500.0,499.89814814814815,876,1500
50,498.39,466.55,464.57984126984127,,1500
51,500.0,333.89,262.67708994708994,,1500
52,366.75,172.66,159.36650793650793,,1500
53,500.0,500.0,380.0525925925926,1467,1500
54,458.09,218.94,285.64883597883596,,1500
55,500.0,498.04,490.88560846560847,1186,1500
56,500.0,500.0,499.8311111111111,572,1500
57,500.0,447.82,439.9292063492063,,1500
58,499.68,499.68,341.37650793650795,1416,1500
59,500.0,471.36,391.9800529100529,,1500
60,500.0,486.43,499.7045502645503,851,1500
61,500.0,488.98,499.98,935,1500
