seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,500.0,229.51,422.66079365079366,,1500
43,491.52,476.88,437.4180423280423,1384,1500
44,487.91,454.5,406.62915343915347,,1500
45,479.18,404.94,293.07973544973544,,1500
46,500.0,500.0,485.2612698412699,1385,1500
47,478.49,34.19,233.74386243386246,,1500
48,500.0,498.25,474.41629629629625,1322,1500
49,500.0,500.0,500.0,1172,1500
50,487.27,376.28,413.0698941798942,,1500
51,491.52,490.88,414.3162962962963,1485,1500
