episode,episode_steps,running_avg_100,avg_loss
0,18,18.0000,0.0
1,19,18.5000,0.0
2,12,16.3333,0.0
3,16,16.2500,0.5164897739887238
4,15,16.0000,0.4792596101760864
5,16,16.0000,0.4138183705508709
6,23,17.0000,0.34738977966101275
7,11,16.2500,0.2935255901380019
8,9,15.4444,0.2569184750318527
9,12,15.1000,0.241825420409441
10,15,15.0909,0.21392033298810323
11,12,14.8333,0.18857572476069132
12,22,15.3846,0.16193327714096417
13,31,16.5000,0.13889025175763714
14,10,16.0667,0.12653977498412133
15,13,15.8750,0.11927257306300677
16,13,15.7059,0.11381702297008954
17,13,15.5556,0.10083172642267667
18,10,15.2632,0.09673809707164764
19,11,15.0500,0.08157737011259253
20,21,15.3333,0.08304314599150703
21,17,15.4091,0.07478414454004344
22,44,16.6522,0.06700337161733345
23,11,16.4167,0.060711669650944794
24,17,16.4400,0.057792779715622175
25,12,16.2692,0.05575141807397207
26,17,16.2963,0.055806124035049885
27,15,16.2500,0.05145398775736491
28,13,16.1379,0.05133236686770733
29,14,16.0667,0.05268593478415694
30,18,16.1290,0.0520777553319931
31,21,16.2812,0.04726984990494592
32,12,16.1515,0.05435381208856901
33,18,16.2059,0.053438904177811414
34,14,16.1429,0.04770750805203404
35,10,15.9722,0.049761445820331575
36,12,15.8649,0.05166460480540991
37,20,15.9737,0.051063796225935223
38,12,15.8718,0.04843828361481428
39,12,15.7750,0.049859099090099335
40,12,15.6829,0.05246414911622802
41,11,15.5714,0.053615208037874916
42,16,15.5814,0.05614253715611994
43,10,15.4545,0.04299416448920965
44,18,15.5111,0.05931002522508303
45,12,15.4348,0.06131877905378739
46,14,15.4043,0.06654463282653264
47,12,15.3333,0.0547612807713449
48,11,15.2449,0.051675806838003074
49,13,15.2000,0.06940743957574551
50,25,15.3922,0.055798759907484057
51,15,15.3846,0.06114446992675463
52,11,15.3019,0.07684170217676596
53,14,15.2778,0.07441461804722037
54,15,15.2727,0.059344188993175825
55,13,15.2321,0.06391624189340152
56,17,15.2632,0.06793863874147921
57,9,15.1552,0.07285740640428331
58,24,15.3051,0.06849774485453963
59,10,15.2167,0.08262488692998886
60,17,15.2459,0.07346219328396461
61,16,15.2581,0.05953763972502202
62,13,15.2222,0.08203902324804893
63,20,15.2969,0.08606412131339311
64,17,15.3231,0.08157614136443418
65,12,15.2727,0.07641357167934378
66,19,15.3284,0.06433869035620439
67,14,15.3088,0.06814156552510602
68,14,15.2899,0.07685228889541966
69,14,15.2714,0.06785934551485948
70,14,15.2535,0.06812424292521817
71,13,15.2222,0.07989584597257468
72,15,15.2192,0.08291191582878431
73,14,15.2027,0.08087722105639321
74,11,15.1467,0.0829170552844351
75,17,15.1711,0.07857080505174749
76,20,15.2338,0.07915906338021159
77,25,15.3590,0.07415525756776332
78,14,15.3418,0.07979072969672936
79,14,15.3250,0.09259095175990037
80,26,15.4568,0.0976648499759344
81,21,15.5244,0.08588719403459913
82,13,15.4940,0.08028299862948748
83,21,15.5595,0.09892894451816876
84,21,15.6235,0.12076005587975185
85,14,15.6047,0.1006994407091822
86,16,15.6092,0.0920850916299969
87,13,15.5795,0.10132547998084472
88,17,15.5955,0.08932544619721525
89,16,15.6000,0.11752241931390017
90,22,15.6703,0.10779801561412486
91,16,15.6739,0.10396876209415495
92,16,15.6774,0.09535610978491604
93,27,15.7979,0.10551716718408796
94,15,15.7895,0.0861727791527907
