seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,499.87,499.87,384.1510052910053,1417,1500
43,500.0,485.83,440.7971428571429,1496,1500
44,500.0,385.25,475.06021164021166,,1500
45,500.0,500.0,500.0,1101,1500
46,500.0,500.0,380.8657671957672,1422,1500
47,498.18,425.99,317.1534920634921,,1500
48,500.0,497.94,337.75396825396825,1370,1500
49,500.0,485.07,469.3974603174603,1485,1500
50,500.0,457.38,427.10386243386245,,1500
51,500.0,500.0,358.14142857142855,1438,1500
