seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,499.87,499.87,384.1510052910053,1417,1500
43,500.0,485.83,440.7971428571429,1496,1500
44,500.0,385.25,475.06021164021166,,1500
45,500.0,500.0,500.0,1101,1500
46,500.0,500.0,380.8657671957672,1422,1500
47,498.18,425.99,317.1534920634921,,1500
48,500.0,497.94,337.75396825396825,1370,1500
49,500.0,485.07,469.3974603174603,1485,1500
50,500.0,457.38,427.10386243386245,,1500
51,500.0,500.0,358.14142857142855,1438,1500
52,500.0,500.0,395.06820105820105,1454,1500
53,500.0,489.07,470.60994708994707,1405,1500
54,500.0,500.0,391.8103703703704,1403,1500
55,500.0,491.37,462.7959788359789,1471,1500
56,500.0,490.04,322.9844444444444,1417,1500
57,500.0,494.59,500.0,829,1500
58,500.0,500.0,499.861746031746,1170,1500
59,500.0,500.0,500.0,922,1500
60,477.72,316.08,322.6998412698413,,1500
61,500.0,500.0,489.0257671957672,1234,1500
62,500.0,496.3,496.9604232804233,1465,1500
63,479.01,259.62,359.2949206349207,,1500
64,500.0,500.0,500.0,1187,1500
65,485.13,217.4,318.6114285714286,,1500
66,500.0,500.0,500.0,785,1500
67,500.0,446.03,467.2115873015873,,1500
68,452.25,405.42,383.07259259259257,,1500
69,469.06,441.35,398.58227513227513,,1500
70,500.0,441.74,363.0024867724868,,1500
71,497.56,368.34,462.9888888888889,,1500
