seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,235.76,119.37,39.72814814814815,,1500
43,495.85,11.87,76.91047619047619,,1500
44,500.0,14.09,11.475925925925925,,1500
45,468.11,224.17,327.8710052910053,,1500
46,486.24,137.88,113.83714285714287,,1500
47,500.0,274.42,394.16624338624337,,1500
48,500.0,324.91,424.78544973544973,,1500
49,500.0,500.0,464.8965608465608,1345,1500
50,446.56,446.05,303.95783068783066,,1500
51,500.0,481.51,496.97582010582005,1224,1500
