episode,episode_steps,running_avg_100,avg_loss
0,29,29.0000,0.0
1,12,20.5000,0.0
2,16,19.0000,0.0
3,14,17.7500,0.5443934574723244
4,78,29.8000,0.48092655073373747
5,12,26.8333,0.41568565865357715
6,11,24.5714,0.3916320258920843
7,18,23.7500,0.3618297990825441
8,15,22.7778,0.33626793026924134
9,12,21.7000,0.30002578099568683
10,13,20.9091,0.27660845334713274
11,9,19.9167,0.25273655354976654
12,11,19.2308,0.23116473176262595
13,11,18.6429,0.20823512971401215
14,13,18.2667,0.18698793535049146
15,13,17.9375,0.16549286819421327
16,39,19.1765,0.13790527903116667
17,11,18.7222,0.11222747916525061
18,27,19.1579,0.10473279020300617
19,45,20.4500,0.09081225610441632
20,13,20.0952,0.07423414633824275
21,11,19.6818,0.07038275254043666
22,13,19.3913,0.06568715377495839
23,35,20.0417,0.0646086003099169
24,20,20.0400,0.05730686541646719
25,30,20.4231,0.055721612522999446
26,13,20.1481,0.05245547712995456
27,16,20.0000,0.053498573950491846
28,13,19.7586,0.0530343779291098
29,14,19.5667,0.05329914524086884
30,11,19.2903,0.04494288157333027
31,17,19.2188,0.047885943642433954
32,11,18.9697,0.05683619021014734
33,17,18.9118,0.056571564691908216
34,18,18.8857,0.05969665696223577
35,13,18.7222,0.062226295757752195
36,17,18.6757,0.05722705844570609
37,22,18.7632,0.05724521243775433
38,13,18.6154,0.05634301614302855
39,20,18.6500,0.06152672078460455
40,12,18.4878,0.06495037612815698
41,12,18.3333,0.06717958549658458
42,17,18.3023,0.06753674500128802
43,13,18.1818,0.060202802603061385
44,13,18.0667,0.06549900483626586
45,10,17.8913,0.08109472878277302
46,19,17.9149,0.0729053239093015
47,12,17.7917,0.07500468225528796
48,10,17.6327,0.07714857719838619
49,13,17.5400,0.06837299953286465
50,19,17.5686,0.06458397503746183
51,12,17.4615,0.09116694579521815
52,13,17.3774,0.08221547004695122
53,11,17.2593,0.09128351780501279
54,20,17.3091,0.0960054226219654
55,13,17.2321,0.07702629354137641
56,14,17.1754,0.09460406863529768
57,15,17.1379,0.10243295319378376
58,17,17.1356,0.1251758700784515
59,17,17.1333,0.09805695033248733
60,10,17.0164,0.09285221695899963
61,14,16.9677,0.09935092792979308
62,11,16.8730,0.10620879585092718
63,9,16.7500,0.12080008164048195
64,10,16.6462,0.09033344946801662
65,13,16.5909,0.10398507519410206
66,12,16.5224,0.1183638796210289
67,26,16.6618,0.11035173629912046
68,16,16.6522,0.11797080840915442
69,21,16.7143,0.13415490977820896
70,13,16.6620,0.12329915165901184
71,14,16.6250,0.13695782609283924
72,13,16.5753,0.11340866982936859
73,14,16.5405,0.13783624555383409
74,15,16.5200,0.16682777007420857
75,11,16.4474,0.15472773801196704
76,10,16.3636,0.1392010822892189
77,12,16.3077,0.15543539884189764
78,29,16.4684,0.1256286126786265
79,11,16.4000,0.13622229546308517
80,15,16.3827,0.15324302688241004
81,10,16.3049,0.13692860603332518
82,11,16.2410,0.15347944674166766
83,11,16.1786,0.13692051307721573
84,19,16.2118,0.13621760238158076
85,13,16.1744,0.16131071402476385
86,13,16.1379,0.20112076287086195
87,14,16.1136,0.13388633195843017
88,14,16.0899,0.1816726899040597
89,14,16.0667,0.15749472113592283
90,9,15.9890,0.1809925138950348
91,14,15.9674,0.16727538859205587
92,15,15.9570,0.20595675806204478
93,22,16.0213,0.16928328556770628
94,17,16.0316,0.15888371329535456
95,16,16.0312,0.17704044235870242
96,11,15.9794,0.21307375011118976
97,12,15.9388,0.1960460018987457
98,10,15.8788,0.16651968359947206
99,14,15.8600,0.19237390479871205
100,14,15.7100,0.1674107691007001
101,13,15.7200,0.1880940032693056
102,13,15.6900,0.17993327459463707
103,12,15.6700,0.2174284172554811
104,16,15.0500,0.16937138326466084
105,11,15.0400,0.21623946997252377
106,18,15.1100,0.19401663831538624
107,19,15.1200,0.1899883182425248
108,14,15.1100,0.23764760845473834
109,12,15.1100,0.1839098148047924
110,11,15.0900,0.2121723551641811
111,14,15.1400,0.220845492290599
112,14,15.1700,0.22519398587090628
113,15,15.2100,0.1839781805872917
114,14,15.2200,0.18940467493874685
115,19,15.2800,0.23842429212833705
116,14,15.0300,0.22428770416549274
117,14,15.0600,0.22342347939099585
118,26,15.0500,0.22996635591754547
119,18,14.7800,0.217319555580616
120,14,14.7900,0.2105640923338277
121,26,14.9400,0.20585535187274218
122,14,14.9500,0.22052458726934024
123,14,14.7400,0.21694651139633997
124,14,14.6800,0.2249368317425251
125,18,14.5600,0.21987957962685162
126,13,14.5600,0.24083598287632832
127,16,14.5600,0.2598839648999274
128,20,14.6300,0.2117271011695266
129,15,14.6400,0.23580733040968577
130,13,14.6600,0.2436010708602575
131,17,14.6600,0.2664132008657736
132,19,14.7400,0.27208323070877477
133,13,14.7000,0.23495593953591126
134,12,14.6400,0.24255426538487276
135,12,14.6300,0.2404263261705637
136,12,14.5800,0.306021336466074
137,17,14.5300,0.22410678282818375
138,17,14.5700,0.2761925533413887
139,15,14.5200,0.29021653831005095
140,17,14.5700,0.27701376466190114
141,17,14.6200,0.2904879152774811
142,16,14.6100,0.25123048503883183
143,17,14.6500,0.24060299006455085
144,17,14.6900,0.28757009523756366
145,20,14.7900,0.2835022144019604
146,36,14.9600,0.28353257353107136
147,20,15.0400,0.25136826895177367
148,16,15.1000,0.31138320127502084
149,39,15.3600,0.2948643379868605
150,34,15.5100,0.31701791527516704
151,35,15.7400,0.3092011651822499
152,19,15.8000,0.25684197345062304
153,40,16.0900,0.2971103949472308
154,30,16.1900,0.28671592796842255
155,40,16.4600,0.273070899490267
156,15,16.4700,0.25943008015553154
157,56,16.8800,0.2945651011541486
158,38,17.0900,0.30758246132417727
159,38,17.3000,0.2905187018607792
160,33,17.5300,0.27485657517205586
161,36,17.7500,0.3154884512639708
162,38,18.0200,0.3425607628336078
163,40,18.3300,0.3001439986750484
164,41,18.6400,0.25037669717538646
165,20,18.7100,0.3061179079115391
166,34,18.9300,0.26453380286693573
167,39,19.0600,0.3142067488187399
168,35,19.2500,0.3125700641955648
169,46,19.5000,0.30303520725473115
170,39,19.7600,0.2918325739029126
171,50,20.1200,0.32129630908370016
172,103,21.0200,0.323658257071833
173,62,21.5000,0.3686157078632424
174,116,22.5100,0.3254296163675086
175,116,23.5600,0.3854303132614185
176,187,25.3300,0.33560343501083356
177,341,28.6200,0.35406021607761157
178,500,33.3300,0.3686332109421492
179,483,38.0500,0.38404135633545383
180,390,41.8000,0.3829645192202849
181,500,46.7000,0.4123078092113137
182,291,49.5000,0.41429525932546746
183,226,51.6500,0.43066801592312026
184,275,54.2100,0.44591945879838685
185,371,57.7900,0.4483076598485204
186,500,62.6600,0.4759913468658924
187,224,64.7600,0.4848605172176446
188,328,67.9000,0.46410725270284386
189,349,71.2500,0.48786570994252804
190,192,73.0800,0.5010828397159154
191,212,75.0600,0.5307258013635874
192,226,77.1700,0.5153413265943527
193,500,81.9500,0.530634027570486
194,257,84.3500,0.5517811647359036
195,270,86.8900,0.5522312647214642
196,227,89.0500,0.5648646259819884
197,230,91.2300,0.5697897272265475
198,238,93.5100,0.5612698547980365
199,214,95.5100,0.5793671276524802
200,219,97.5600,0.5858909244134546
201,213,99.5600,0.6157707338321936
202,203,101.4600,0.617103520799153
203,200,103.3400,0.5885736337676645
204,183,105.0100,0.6655103087099523
205,177,106.6700,0.5862506521960437
206,168,108.1700,0.6432095945236229
207,167,109.6500,0.6772548787875804
208,171,111.2200,0.6415368407441858
209,178,112.8800,0.6834459275509535
210,177,114.5400,0.7081346540043583
211,183,116.2300,0.7179122668960707
212,171,117.8000,0.7010150509968138
213,172,119.3700,0.7101946281659048
214,175,120.9800,0.6190081386906761
