seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,112.51,112.51,99.24407407407408,,1500
43,500.0,51.47,325.4767195767196,,1500
44,500.0,500.0,500.0,1176,1500
45,500.0,99.2,206.62714285714284,,1500
46,490.02,290.5,287.9209523809524,,1500
47,500.0,498.81,376.8639682539682,1368,1500
48,500.0,28.8,484.51846560846565,,1500
49,486.64,282.28,369.913544973545,,1500
50,480.3,480.3,354.66291005291004,1494,1500
51,500.0,329.15,451.8963492063492,,1500
52,500.0,500.0,391.3377777777778,1402,1500
53,500.0,381.1,441.15920634920633,,1500
54,499.33,496.54,213.67275132275134,1422,1500
55,500.0,500.0,315.149417989418,1381,1500
56,270.88,270.88,85.10269841269842,,1500
57,500.0,193.31,209.38206349206348,,1500
58,500.0,331.31,394.8658201058201,,1500
59,488.4,251.33,389.41629629629625,,1500
60,500.0,321.68,436.89460317460316,,1500
61,492.37,484.46,137.09661375661375,1471,1500
