seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,112.51,112.51,99.24407407407408,,1500
43,500.0,51.47,325.4767195767196,,1500
44,500.0,500.0,500.0,1176,1500
45,500.0,99.2,206.62714285714284,,1500
46,490.02,290.5,287.9209523809524,,1500
47,500.0,498.81,376.8639682539682,1368,1500
48,500.0,28.8,484.51846560846565,,1500
49,486.64,282.28,369.913544973545,,1500
50,480.3,480.3,354.66291005291004,1494,1500
51,500.0,329.15,451.8963492063492,,1500
52,500.0,500.0,391.3377777777778,1402,1500
53,500.0,381.1,441.15920634920633,,1500
54,499.33,496.54,213.67275132275134,1422,1500
55,500.0,500.0,315.149417989418,1381,1500
56,270.88,270.88,85.10269841269842,,1500
57,500.0,193.31,209.38206349206348,,1500
58,500.0,331.31,394.8658201058201,,1500
59,488.4,251.33,389.41629629629625,,1500
60,500.0,321.68,436.89460317460316,,1500
61,492.37,484.46,137.09661375661375,1471,1500
62,500.0,500.0,480.7157142857143,1385,1500
63,500.0,465.35,453.3044444444444,,1500
64,453.8,261.67,195.03449735449735,,1500
65,500.0,500.0,500.0,779,1500
66,500.0,500.0,359.2885714285714,1365,1500
67,472.71,452.23,334.68656084656084,,1500
68,500.0,500.0,442.491164021164,1284,1500
69,500.0,32.0,68.16306878306878,,1500
70,500.0,500.0,500.0,942,1500
71,500.0,441.22,349.06756613756613,,1500
72,500.0,500.0,450.15513227513225,1351,1500
73,481.7,170.77,132.75883597883598,,1500
74,500.0,500.0,500.0,1037,1500
75,500.0,38.65,359.87195767195766,,1500
76,500.0,496.62,342.61338624338623,1457,1500
77,500.0,13.09,479.3683068783069,,1500
78,426.54,426.54,153.75767195767196,,1500
79,500.0,139.54,403.49365079365083,,1500
80,500.0,193.78,407.7870899470899,,1500
81,291.57,291.57,51.110370370370376,,1500
82,500.0,436.29,471.3841798941799,,1500
83,500.0,493.16,500.0,1095,1500
84,500.0,500.0,497.72544973544973,1215,1500
85,489.91,353.95,432.5801058201058,,1500
86,473.06,345.19,229.47878306878306,,1500
87,495.02,492.9,101.61947089947091,1488,1500
88,485.4,10.65,336.9147619047619,,1500
89,500.0,221.09,260.5044444444444,,1500
90,444.12,443.33,244.10867724867725,,1500
91,500.0,478.95,498.09746031746033,1479,1500
