seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,500.0,329.5,322.53929712460064,,2500
43,500.0,364.68,405.24891373801916,,2500
44,500.0,488.5,362.5623003194888,2316,2500
45,500.0,373.0,377.1269009584665,,2500
46,500.0,205.51,427.9950159744409,,2500
47,500.0,390.94,486.10408945686896,,2500
48,500.0,115.32,125.92402555910543,,2500
49,500.0,372.51,320.11728434504795,,2500
50,500.0,99.92,305.28392971246006,,2500
51,500.0,18.21,185.2664856230032,,2500
