seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,487.94,487.94,242.39079365079365,1476,1500
43,461.29,443.88,324.0356613756614,,1500
44,500.0,486.25,491.5334920634921,1326,1500
45,205.64,182.37,167.55391534391535,,1500
46,414.09,256.11,298.84116402116405,,1500
47,168.62,145.1,154.48492063492066,,1500
48,264.31,136.52,112.23338624338625,,1500
49,362.44,211.6,218.91899470899472,,1500
50,433.97,433.97,280.6190476190476,,1500
51,500.0,276.27,325.0855555555556,,1500
