seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,277.31,231.31,244.7330158730159,,1500
43,418.66,346.81,266.590582010582,,1500
44,485.86,430.04,306.9861904761905,,1500
45,182.28,120.83,122.98529100529102,,1500
46,418.02,188.56,210.84222222222223,,1500
47,159.48,134.8,102.49370370370372,,1500
48,500.0,495.85,412.28201058201057,1341,1500
49,407.97,401.32,265.2807407407407,,1500
50,378.56,283.52,243.5305291005291,,1500
51,385.96,226.89,195.29248677248677,,1500
