seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,500.0,277.01,378.36894179894176,,1500
43,380.53,118.44,305.6530158730159,,1500
44,500.0,464.92,413.82005291005294,,1500
45,239.79,189.34,152.45809523809524,,1500
46,324.13,168.65,260.6026984126984,,1500
47,200.83,200.83,145.4363492063492,,1500
48,500.0,499.04,464.8624338624339,1292,1500
49,447.73,417.4,397.1996296296296,,1500
50,243.95,112.99,112.14095238095238,,1500
51,500.0,453.35,500.0,,1500
52,468.75,388.44,195.90349206349208,,1500
53,228.51,180.91,159.484708994709,,1500
54,469.35,341.62,365.47671957671963,,1500
55,358.13,162.18,209.04428571428573,,1500
56,500.0,379.21,491.9569312169312,,1500
57,482.5,374.62,308.0895767195767,,1500
58,495.86,395.45,429.94936507936507,,1500
59,381.42,130.28,227.48724867724866,,1500
60,332.23,198.39,274.454708994709,,1500
61,500.0,415.01,476.31476190476195,,1500
62,216.41,185.15,123.67936507936508,,1500
63,320.22,133.37,172.10846560846562,,1500
64,477.87,90.72,373.4644973544973,,1500
65,500.0,481.74,442.45084656084657,1365,1500
66,448.99,448.99,282.474126984127,,1500
67,496.49,496.49,390.06513227513227,1486,1500
68,500.0,500.0,291.3919576719577,1446,1500
69,400.33,194.21,217.5041798941799,,1500
70,460.79,31.03,304.3916931216931,,1500
71,460.13,270.28,99.63121693121693,,1500
