seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
72,500.0,477.65,448.6937566137566,1474,1500
73,500.0,500.0,491.5075661375661,1242,1500
74,500.0,493.63,483.70037037037036,1449,1500
75,500.0,495.14,494.9719576719577,908,1500
76,500.0,490.73,428.244126984127,1402,1500
77,495.47,389.93,385.39158730158726,,1500
78,500.0,117.0,256.17137566137563,,1500
79,420.36,325.59,275.9625925925926,,1500
80,495.14,447.36,440.90084656084656,,1500
81,500.0,481.58,429.2367195767196,1485,1500
82,500.0,500.0,499.11920634920637,1144,1500
83,500.0,497.78,493.22566137566133,983,1500
84,500.0,363.74,401.4874603174603,,1500
85,500.0,108.0,287.3903174603174,,1500
86,500.0,364.76,295.1254497354497,,1500
87,500.0,399.0,432.33370370370375,,1500
88,500.0,500.0,309.23015873015873,1488,1500
89,500.0,500.0,362.938835978836,1341,1500
90,495.17,462.72,441.16169312169313,,1500
91,500.0,352.05,457.60084656084655,,1500
