episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
0,20,20.0,0.8532832342697085,,,,0,0,0,0
1,14,14.0,0.846513905919502,,,,0,0,0,0
2,12,12.0,0.8407546695463735,,,,0,0,0,0
3,15,15.0,0.8336110642566036,,,,0,0,0,0
4,14,14.0,0.8269988431000604,,,,0,0,0,0
5,23,23.0,0.8162503516160449,,,,0,0,0,0
6,25,25.0,0.8047266879158258,,,,0,0,0,0
7,16,16.0,0.7974376660253206,,,,0,0,0,0
8,12,12.0,0.7920145669629854,,,,0,0,0,0
9,15,15.0,0.7852878975508044,,,,0,0,0,0
10,13,13.0,0.7795046799984099,,,,0,0,0,0
11,15,15.0,0.7728850235062611,,,,0,0,0,0
12,13,13.0,0.7671938097315967,,,,0,0,0,0
13,10,10.0,0.762844697012759,,,,0,0,0,0
14,20,20.0,0.7542208431618822,,,,0,0,0,0
15,13,13.0,0.7486680791605328,,,,0,0,0,0
16,14,14.0,0.7427342353259091,,,,0,0,0,0
17,16,16.0,0.7360107050728287,,,,0,0,0,0
18,68,68.0,0.7081132058177434,,,,0,0,0,0
19,13,13.0,0.7029024655120826,,,,0,0,0,0
20,12,12.0,0.6981268652830798,,,,0,0,0,0
21,13,13.0,0.6929902030541284,,,,0,0,0,0
22,12,12.0,0.6882824947674113,,,,0,0,0,0
23,24,24.0,0.6789635906948884,,,,0,0,0,0
24,11,11.0,0.6747350482961822,,,,0,0,0,0
25,13,13.0,0.6697719051663557,,,,0,0,0,0
26,10,10.0,0.6659791695978143,,,,0,0,0,0
27,12,12.0,0.6614564676638116,,,,0,0,0,0
28,25,25.0,0.6521334189505087,,,,0,0,0,0
29,14,14.0,0.6469705266452151,,,,0,0,0,0
30,21,21.0,0.6393033956198034,,,,0,0,0,0
31,16,16.0,0.6335233556217793,,,,0,0,0,0
32,37,37.0,0.620358149406773,,,,0,0,0,0
33,13,13.0,0.6157983708601157,,,,0,0,0,0
34,12,12.0,0.611619371678759,,,,0,0,0,0
35,13,13.0,0.6071244168625397,,,,0,0,0,0
36,24,24.0,0.5989134555721014,,,,0,0,0,0
37,13,13.0,0.5945127524815014,,,,0,0,0,0
38,11,11.0,0.5908145875634481,,,,0,0,0,0
39,15,15.0,0.5858090366047685,,,,0,0,0,0
40,16,16.0,0.5805169691164387,,,,0,0,0,0
41,11,11.0,0.5769067020627283,,,,0,0,0,0
42,8,8.0,0.5742953027116354,,,,0,0,0,0
43,12,12.0,0.5704005700051998,,,,0,0,0,0
44,15,15.0,0.5655696460143482,,,,0,0,0,0
45,14,14.0,0.5610980750747128,,,,0,0,0,0
46,10,10.0,0.5579259764786063,,,,0,0,0,0
47,10,10.0,0.5547719937588547,,,,0,0,0,0
48,14,14.0,0.5503866557484224,,,,0,0,0,0
49,12,12.0,0.546655680255503,,9.366666666666667,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,0,9.366666666666667,0,1
50,10,10.0,0.5435660622730617,,9.366666666666667,,0,9.366666666666667,0,0
51,10,10.0,0.5404940891196375,,9.366666666666667,,0,9.366666666666667,0,0
52,12,12.0,0.5368308706665935,,9.366666666666667,,0,9.366666666666667,0,0
53,14,14.0,0.532588815247676,,9.366666666666667,,0,9.366666666666667,0,0
54,22,22.0,0.5259910717114745,,9.366666666666667,,0,9.366666666666667,0,0
55,8,8.0,0.523612429121428,,9.366666666666667,,0,9.366666666666667,0,0
56,11,11.0,0.5203595402441665,,9.366666666666667,,0,9.366666666666667,0,0
57,11,11.0,0.5171270805188715,,9.366666666666667,,0,9.366666666666667,0,0
58,15,15.0,0.5127518722100541,,9.366666666666667,,0,9.366666666666667,0,0
59,21,21.0,0.5066893856301231,,9.366666666666667,,0,9.366666666666667,0,0
60,10,10.0,0.5038280154243068,,9.366666666666667,,0,9.366666666666667,0,0
61,19,19.0,0.4984363551825851,,9.366666666666667,,0,9.366666666666667,0,0
62,13,13.0,0.4947809852121966,,9.366666666666667,,0,9.366666666666667,0,0
63,16,16.0,0.4903192704471907,,9.366666666666667,,0,9.366666666666667,0,0
64,13,13.0,0.4867241125258104,,9.366666666666667,,0,9.366666666666667,0,0
65,10,10.0,0.4839767641285824,,9.366666666666667,,0,9.366666666666667,0,0
66,20,20.0,0.4785290481030787,,9.366666666666667,,0,9.366666666666667,0,0
67,9,9.0,0.4760978609212508,,9.366666666666667,,0,9.366666666666667,0,0
68,11,11.0,0.47314337828257097,,9.366666666666667,,0,9.366666666666667,0,0
69,11,11.0,0.47020745071204295,,9.366666666666667,,0,9.366666666666667,0,0
70,11,11.0,0.46728996167807874,,9.366666666666667,,0,9.366666666666667,0,0
71,12,12.0,0.4641281393912903,,9.366666666666667,,0,9.366666666666667,0,0
72,16,16.0,0.45994603814778295,,9.366666666666667,,0,9.366666666666667,0,0
73,12,12.0,0.4568345165097701,,9.366666666666667,,0,9.366666666666667,0,0
74,11,11.0,0.45400101365405093,,9.366666666666667,,0,9.366666666666667,0,0
75,15,15.0,0.45016580261015493,,9.366666666666667,,0,9.366666666666667,0,0
76,14,14.0,0.44661587752672777,,9.366666666666667,,0,9.366666666666667,0,0
77,14,14.0,0.4430943030913075,,9.366666666666667,,0,9.366666666666667,0,0
78,15,15.0,0.43935239096758316,,9.366666666666667,,0,9.366666666666667,0,0
79,9,9.0,0.4371226257426398,,9.366666666666667,,0,9.366666666666667,0,0
80,11,11.0,0.43441291968024054,,9.366666666666667,,0,9.366666666666667,0,0
81,11,11.0,0.43172023141310617,,9.366666666666667,,0,9.366666666666667,0,0
82,11,11.0,0.4290444540641998,,9.366666666666667,,0,9.366666666666667,0,0
83,15,15.0,0.4254227281079971,,9.366666666666667,,0,9.366666666666667,0,0
84,14,14.0,0.4220704078132155,,9.366666666666667,,0,9.366666666666667,0,0
85,10,10.0,0.4196922971571776,,9.366666666666667,,0,9.366666666666667,0,0
86,14,14.0,0.4163857416115093,,9.366666666666667,,0,9.366666666666667,0,0
87,10,10.0,0.41404009612227155,,9.366666666666667,,0,9.366666666666667,0,0
88,12,12.0,0.41124299751127064,,9.366666666666667,,0,9.366666666666667,0,0
89,11,11.0,0.4086958235481608,,9.366666666666667,,0,9.366666666666667,0,0
90,13,13.0,0.40570614347321343,,9.366666666666667,,0,9.366666666666667,0,0
91,11,11.0,0.4031937426723075,,9.366666666666667,,0,9.366666666666667,0,0
92,12,12.0,0.4004709338620013,,9.366666666666667,,0,9.366666666666667,0,0
93,16,16.0,0.3968695100378367,,9.366666666666667,,0,9.366666666666667,0,0
94,15,15.0,0.39352301716102805,,9.366666666666667,,0,9.366666666666667,0,0
95,10,10.0,0.3913079408444474,,9.366666666666667,,0,9.366666666666667,0,0
96,14,14.0,0.38822807033460716,,9.366666666666667,,0,9.366666666666667,0,0
97,11,11.0,0.38582543725885393,,9.366666666666667,,0,9.366666666666667,0,0
98,14,14.0,0.3827893514840992,,9.366666666666667,,0,9.366666666666667,0,0
99,9,9.0,0.38085039815922966,14.43,11.1,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,14.43,11.1,1,1
100,21,21.0,0.37636485308997847,14.44,11.1,,14.44,11.1,1,0
101,12,12.0,0.3738258030764998,14.42,11.1,,14.44,11.1,0,0
102,14,14.0,0.3708855495790242,14.44,11.1,,14.44,11.1,0,0
103,14,14.0,0.367968777729752,14.43,11.1,,14.44,11.1,0,0
104,12,12.0,0.3654872348561621,14.41,11.1,,14.44,11.1,0,0
105,11,11.0,0.3632274212868124,14.29,11.1,,14.44,11.1,0,0
106,13,13.0,0.3605750230999481,14.17,11.1,,14.44,11.1,0,0
107,13,13.0,0.3579423002441691,14.14,11.1,,14.44,11.1,0,0
108,19,19.0,0.35412956417438474,14.21,11.1,,14.44,11.1,0,0
109,34,34.0,0.34740947165218616,14.4,11.1,,14.44,11.1,0,0
110,13,13.0,0.3448744100694915,14.4,11.1,,14.44,11.1,0,0
111,15,15.0,0.34197269718875556,14.4,11.1,,14.44,11.1,0,0
112,20,20.0,0.33814232197293087,14.47,11.1,,14.47,11.1,1,0
113,20,20.0,0.33435557242421865,14.57,11.1,,14.57,11.1,1,0
114,18,18.0,0.3309843869954153,14.55,11.1,,14.57,11.1,0,0
115,13,13.0,0.32857116570816625,14.55,11.1,,14.57,11.1,0,0
116,18,18.0,0.3252593070049851,14.59,11.1,,14.59,11.1,1,0
117,13,13.0,0.32288855401863437,14.56,11.1,,14.59,11.1,0,0
118,57,57.0,0.31269958355238736,14.45,11.1,,14.59,11.1,0,0
