episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
0,18,18.0,0.8526676902325314,,,,0,0,0,0
1,25,25.0,0.8441158410701195,,,,0,0,0,0
2,17,17.0,0.8383535907494093,,,,0,0,0,0
3,26,26.0,0.8296229212037198,,,,0,0,0,0
4,66,66.0,0.8078998020446289,,,,0,0,0,0
5,18,18.0,0.8020829830201129,,,,0,0,0,0
6,12,12.0,0.7982303831058182,,,,0,0,0,0
7,12,12.0,0.7943978836670995,,,,0,0,0,0
8,49,49.0,0.7789549249914294,,,,0,0,0,0
9,9,9.0,0.7761541465691794,,,,0,0,0,0
10,8,8.0,0.7736737737033235,,,,0,0,0,0
11,19,19.0,0.7678174399414324,,,,0,0,0,0
12,17,17.0,0.7626185194383682,,,,0,0,0,0
13,11,11.0,0.7592749841059129,,,,0,0,0,0
14,10,10.0,0.75624928786864,,,,0,0,0,0
15,16,16.0,0.7514355247411919,,,,0,0,0,0
16,24,24.0,0.7442775407261117,,,,0,0,0,0
17,10,10.0,0.7413170790242121,,,,0,0,0,0
18,23,23.0,0.7345567938165736,,,,0,0,0,0
19,18,18.0,0.729313212916762,,,,0,0,0,0
20,13,13.0,0.725551688676438,,,,0,0,0,0
21,14,14.0,0.7215245845964341,,,,0,0,0,0
22,14,14.0,0.717521982594946,,,,0,0,0,0
23,19,19.0,0.7121288040131225,,,,0,0,0,0
24,28,28.0,0.704261938543792,,,,0,0,0,0
25,13,13.0,0.7006419773105381,,,,0,0,0,0
26,14,14.0,0.6967664311966477,,,,0,0,0,0
27,24,24.0,0.6901774178406582,,,,0,0,0,0
28,14,14.0,0.6863655411658164,,,,0,0,0,0
29,24,24.0,0.6798847754662684,,,,0,0,0,0
30,15,15.0,0.6758685929742336,,,,0,0,0,0
31,15,15.0,0.6718785858128252,,,,0,0,0,0
32,11,11.0,0.6689691176088451,,,,0,0,0,0
33,15,15.0,0.6650240775397429,,,,0,0,0,0
34,11,11.0,0.6621473988321216,,,,0,0,0,0
35,28,28.0,0.6548868860820843,,,,0,0,0,0
36,11,11.0,0.6520587000436884,,,,0,0,0,0
37,18,18.0,0.647459912065637,,,,0,0,0,0
38,11,11.0,0.6446672539933279,,,,0,0,0,0
39,16,16.0,0.6406290361872231,,,,0,0,0,0
40,12,12.0,0.6376188027753397,,,,0,0,0,0
41,11,11.0,0.6348732210219121,,,,0,0,0,0
42,11,11.0,0.632140773141743,,,,0,0,0,0
43,13,13.0,0.6289283635921167,,,,0,0,0,0
44,20,20.0,0.6240216059649273,,,,0,0,0,0
45,13,13.0,0.6208550772636501,,,,0,0,0,0
46,11,11.0,0.618189687129333,,,,0,0,0,0
47,11,11.0,0.6155370472604794,,,,0,0,0,0
48,9,9.0,0.6133761465918797,,,,0,0,0,0
49,15,15.0,0.6097934317905561,,9.966666666666667,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,0,9.966666666666667,0,1
50,18,18.0,0.6055249829095624,,9.966666666666667,,0,9.966666666666667,0,0
51,20,20.0,0.60082137834735,,9.966666666666667,,0,9.966666666666667,0,0
52,21,21.0,0.595926530089944,,9.966666666666667,,0,9.966666666666667,0,0
53,13,13.0,0.5929187647060737,,9.966666666666667,,0,9.966666666666667,0,0
54,28,28.0,0.5864981037049676,,9.966666666666667,,0,9.966666666666667,0,0
55,18,18.0,0.5824117276692087,,9.966666666666667,,0,9.966666666666667,0,0
56,18,18.0,0.5783572901452747,,9.966666666666667,,0,9.966666666666667,0,0
57,23,23.0,0.5732227017077871,,9.966666666666667,,0,9.966666666666667,0,0
58,49,49.0,0.562453961808228,,9.966666666666667,,0,9.966666666666667,0,0
59,11,11.0,0.5600679415552038,,9.966666666666667,,0,9.966666666666667,0,0
60,12,12.0,0.5574780259419669,,9.966666666666667,,0,9.966666666666667,0,0
61,13,13.0,0.5546875303777274,,9.966666666666667,,0,9.966666666666667,0,0
62,13,13.0,0.5519128037096092,,9.966666666666667,,0,9.966666666666667,0,0
63,29,29.0,0.545779400786681,,9.966666666666667,,0,9.966666666666667,0,0
64,10,10.0,0.5436823485075382,,9.966666666666667,,0,9.966666666666667,0,0
