episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
0,29,29.0,0.8414144363873355,,,,0,0,0,0
1,13,13.0,0.8320326332556152,,,,0,0,0,0
2,13,13.0,0.8227575803359743,,,,0,0,0,0
3,11,11.0,0.8149919370352614,,,,0,0,0,0
4,21,21.0,0.8003738106899229,,,,0,0,0,0
5,14,14.0,0.790777446072137,,,,0,0,0,0
6,27,27.0,0.7726008413583351,,,,0,0,0,0
7,13,13.0,0.7640020290611228,,,,0,0,0,0
8,48,48.0,0.7330915243942955,,,,0,0,0,0
9,15,15.0,0.7236967908062336,,,,0,0,0,0
10,41,41.0,0.6986418695960475,,,,0,0,0,0
11,9,9.0,0.6932620003349076,,,,0,0,0,0
12,10,10.0,0.68733414475084,,,,0,0,0,0
13,25,25.0,0.6727408044758567,,,,0,0,0,0
14,16,16.0,0.6635682071494323,,,,0,0,0,0
15,11,11.0,0.6573365712853876,,,,0,0,0,0
16,10,10.0,0.6517235728273558,,,,0,0,0,0
17,11,11.0,0.645606076222553,,,,0,0,0,0
18,11,11.0,0.6395475300683845,,,,0,0,0,0
19,11,11.0,0.633547366296594,,,,0,0,0,0
20,12,12.0,0.6270676570220759,,,,0,0,0,0
21,22,22.0,0.6153645116979277,,,,0,0,0,0
22,16,16.0,0.6069943668321386,,,,0,0,0,0
23,16,16.0,0.5987412850078643,,,,0,0,0,0
24,13,13.0,0.5921207219077287,,,,0,0,0,0
25,11,11.0,0.5865775803288118,,,,0,0,0,0
26,20,20.0,0.5766356315591971,,,,0,0,0,0
27,16,16.0,0.5688071404611978,,,,0,0,0,0
28,13,13.0,0.5625271809991806,,,,0,0,0,0
29,12,12.0,0.5567937364711645,,,,0,0,0,0
30,14,14.0,0.550180817298163,,,,0,0,0,0
31,10,10.0,0.5455069517504748,,,,0,0,0,0
32,15,15.0,0.5385728460385992,,,,0,0,0,0
33,8,8.0,0.5349119241586046,,,,0,0,0,0
34,18,18.0,0.526768506559219,,,,0,0,0,0
35,16,16.0,0.5196374463202669,,,,0,0,0,0
36,13,13.0,0.5139169608957809,,,,0,0,0,0
37,10,10.0,0.5095609185142429,,,,0,0,0,0
38,12,12.0,0.5043840320166086,,,,0,0,0,0
39,9,9.0,0.500537096933181,,,,0,0,0,0
40,10,10.0,0.4962983181620012,,,,0,0,0,0
41,12,12.0,0.49126079220036634,,,,0,0,0,0
42,16,16.0,0.48462633519908027,,,,0,0,0,0
43,12,12.0,0.4797114559099447,,,,0,0,0,0
44,13,13.0,0.47444526566560097,,,,0,0,0,0
45,13,13.0,0.4692389964105961,,,,0,0,0,0
46,11,11.0,0.4648799884014643,,,,0,0,0,0
47,11,11.0,0.4605629853991282,,,,0,0,0,0
48,11,11.0,0.45628758262786995,,,,0,0,0,0
49,13,13.0,0.4512879193406024,,10.666666666666666,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,0,10.666666666666666,0,1
50,15,15.0,0.4455897253796107,,10.666666666666666,,0,10.666666666666666,0,0
51,9,9.0,0.44220674996556786,,10.666666666666666,,0,10.666666666666666,0,0
52,13,13.0,0.437367304479916,,10.666666666666666,,0,10.666666666666666,0,0
53,12,12.0,0.4329490128641562,,10.666666666666666,,0,10.666666666666666,0,0
54,11,11.0,0.42893970850371943,,10.666666666666666,,0,10.666666666666666,0,0
55,9,9.0,0.42568812227966535,,10.666666666666666,,0,10.666666666666666,0,0
56,12,12.0,0.42139255298443345,,10.666666666666666,,0,10.666666666666666,0,0
57,13,13.0,0.416789940430661,,10.666666666666666,,0,10.666666666666666,0,0
58,12,12.0,0.4125878713057549,,10.666666666666666,,0,10.666666666666666,0,0
59,15,15.0,0.4073973225933153,,10.666666666666666,,0,10.666666666666666,0,0
60,12,12.0,0.40329394906516125,,10.666666666666666,,0,10.666666666666666,0,0
61,12,12.0,0.39923369289854294,,10.666666666666666,,0,10.666666666666666,0,0
62,15,15.0,0.3942183167132959,,10.666666666666666,,0,10.666666666666666,0,0
63,12,12.0,0.3902534253285074,,10.666666666666666,,0,10.666666666666666,0,0
64,12,12.0,0.38633019616484365,,10.666666666666666,,0,10.666666666666666,0,0
65,12,12.0,0.3824481914446959,,10.666666666666666,,0,10.666666666666666,0,0
66,12,12.0,0.378606977990528,,10.666666666666666,,0,10.666666666666666,0,0
67,14,14.0,0.3741765463408391,,10.666666666666666,,0,10.666666666666666,0,0
68,11,11.0,0.3707335951163774,,10.666666666666666,,0,10.666666666666666,0,0
69,12,12.0,0.36701547610673557,,10.666666666666666,,0,10.666666666666666,0,0
70,15,15.0,0.36242272018946475,,10.666666666666666,,0,10.666666666666666,0,0
71,15,15.0,0.3578902094356382,,10.666666666666666,,0,10.666666666666666,0,0
72,15,15.0,0.3534171535834211,,10.666666666666666,,0,10.666666666666666,0,0
73,14,14.0,0.3492952548345589,,10.666666666666666,,0,10.666666666666666,0,0
74,12,12.0,0.34580240526780626,,10.666666666666666,,0,10.666666666666666,0,0
75,13,13.0,0.34205989009473736,,10.666666666666666,,0,10.666666666666666,0,0
76,12,12.0,0.3386430681757696,,10.666666666666666,,0,10.666666666666666,0,0
77,24,24.0,0.3319167567516549,,10.666666666666666,,0,10.666666666666666,0,0
78,61,61.0,0.315446823085907,,10.666666666666666,,0,10.666666666666666,0,0
79,33,33.0,0.3068986977764837,,10.666666666666666,,0,10.666666666666666,0,0
80,29,29.0,0.29958898832816483,,10.666666666666666,,0,10.666666666666666,0,0
81,29,29.0,0.2924635206944315,,10.666666666666666,,0,10.666666666666666,0,0
82,20,20.0,0.2876543211260625,,10.666666666666666,,0,10.666666666666666,0,0
83,21,21.0,0.2826949627452492,,10.666666666666666,,0,10.666666666666666,0,0
84,16,16.0,0.2789774624685549,,10.666666666666666,,0,10.666666666666666,0,0
85,29,29.0,0.27237151000195636,,10.666666666666666,,0,10.666666666666666,0,0
86,19,19.0,0.2681340161481627,,10.666666666666666,,0,10.666666666666666,0,0
87,19,19.0,0.26396680646894677,,10.666666666666666,,0,10.666666666666666,0,0
88,20,20.0,0.2596549190228232,,10.666666666666666,,0,10.666666666666666,0,0
89,19,19.0,0.2556283458526338,,10.666666666666666,,0,10.666666666666666,0,0
90,24,24.0,0.2506374699755906,,10.666666666666666,,0,10.666666666666666,0,0
91,24,24.0,0.2457509291269094,,10.666666666666666,,0,10.666666666666666,0,0
92,21,21.0,0.2415590774212051,,10.666666666666666,,0,10.666666666666666,0,0
93,18,18.0,0.23802722456931266,,10.666666666666666,,0,10.666666666666666,0,0
94,24,24.0,0.23340430284170938,,10.666666666666666,,0,10.666666666666666,0,0
95,18,18.0,0.2300006446584312,,10.666666666666666,,0,10.666666666666666,0,0
96,14,14.0,0.22739039017088403,,10.666666666666666,,0,10.666666666666666,0,0
97,34,34.0,0.22118353005051916,,10.666666666666666,,0,10.666666666666666,0,0
98,33,33.0,0.21533429677640112,,10.666666666666666,,0,10.666666666666666,0,0
99,10,10.0,0.2135950882642415,16.57,33.53333333333333,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,16.57,33.53333333333333,1,1
100,29,29.0,0.20863710379835193,16.57,33.53333333333333,,16.57,33.53333333333333,0,0
101,22,22.0,0.20495940505804944,16.66,33.53333333333333,,16.66,33.53333333333333,1,0
102,37,37.0,0.19893256439094534,16.9,33.53333333333333,,16.9,33.53333333333333,1,0
103,28,28.0,0.1945004290224541,17.07,33.53333333333333,,17.07,33.53333333333333,1,0
104,44,44.0,0.18775264829533586,17.3,33.53333333333333,,17.3,33.53333333333333,1,0
105,33,33.0,0.1828605886738338,17.49,33.53333333333333,,17.49,33.53333333333333,1,0
106,32,32.0,0.17825057652162887,17.54,33.53333333333333,,17.54,33.53333333333333,1,0
107,14,14.0,0.17627417316310046,17.55,33.53333333333333,,17.55,33.53333333333333,1,0
108,39,39.0,0.17089519545377554,17.46,33.53333333333333,,17.55,33.53333333333333,0,0
109,25,25.0,0.1675430030694196,17.56,33.53333333333333,,17.56,33.53333333333333,1,0
110,27,27.0,0.16400454290780359,17.42,33.53333333333333,,17.56,33.53333333333333,0,0
111,28,28.0,0.16042278640475355,17.61,33.53333333333333,,17.61,33.53333333333333,1,0
112,60,60.0,0.15303851760441783,18.11,33.53333333333333,,18.11,33.53333333333333,1,0
113,46,46.0,0.14763556333078878,18.32,33.53333333333333,,18.32,33.53333333333333,1,0
114,55,55.0,0.1414562150898372,18.71,33.53333333333333,,18.71,33.53333333333333,1,0
115,111,111.0,0.1298603734753493,19.71,33.53333333333333,,19.71,33.53333333333333,1,0
116,31,31.0,0.12681922022264536,19.92,33.53333333333333,,19.92,33.53333333333333,1,0
117,107,107.0,0.11693758902968845,20.88,33.53333333333333,,20.88,33.53333333333333,1,0
118,209,209.0,0.10012481722669403,22.86,33.53333333333333,,22.86,33.53333333333333,1,0
119,220,220.0,0.08547007522542116,24.95,33.53333333333333,,24.95,33.53333333333333,1,0
120,199,199.0,0.07444978324817159,26.82,33.53333333333333,,26.82,33.53333333333333,1,0
121,264,264.0,0.06251367195277627,29.24,33.53333333333333,,29.24,33.53333333333333,1,0
122,218,218.0,0.05454712529125989,31.26,33.53333333333333,,31.26,33.53333333333333,1,0
123,206,206.0,0.04830170581118849,33.16,33.53333333333333,,33.16,33.53333333333333,1,0
124,199,199.0,0.04325402728690467,35.02,33.53333333333333,,35.02,33.53333333333333,1,0
125,284,284.0,0.03742217682895292,37.75,33.53333333333333,,37.75,33.53333333333333,1,0
126,209,209.0,0.03397170127458801,39.64,33.53333333333333,,39.64,33.53333333333333,1,0
127,221,221.0,0.030951732618007793,41.69,33.53333333333333,,41.69,33.53333333333333,1,0
128,194,194.0,0.02874409745212292,43.5,33.53333333333333,,43.5,33.53333333333333,1,0
129,241,241.0,0.026478000164088314,45.79,33.53333333333333,,45.79,33.53333333333333,1,0
130,192,192.0,0.024986933228990246,47.57,33.53333333333333,,47.57,33.53333333333333,1,0
131,178,178.0,0.023812529189199766,49.25,33.53333333333333,,49.25,33.53333333333333,1,0
