config,profile,neuron_type,display_label,slice_luts,lut_as_logic,lut_as_memory,slice_registers,dsp,bram_tiles,carry4,f7_muxes,f8_muxes,wns_ns,tns_ns,whs_ns,clock_period_ns,fmax_est_mhz,power_total_w,power_dynamic_w,power_static_w,junction_temp_c,power_confidence,total_cycles,cycles_idle,cycles_load_hl1,cycles_run_timesteps,cycles_finish_q,cycles_done_state,cycles_ts_hl1_step,cycles_ts_fc2_start,cycles_ts_fc2_wait,cycles_ts_hl2_step,cycles_ts_hl2_wait,cycles_ts_next,num_timesteps,cycles_per_timestep,hl1_size,hl2_size,history_length,latency_us,throughput_hz,energy_per_inference_uj,cycles_csv_path
frac-32-8-8-q2_13,baseline,fractional,Fractional 32-8-8,17345,17345,0,21511,208,0,2216,991,3,0.142,0.0,0.027,10.0,101.44045445323594,0.525,0.427,0.098,27.4,Medium,592,1,7,520,63,1,10,10,350,10,130,10,10,52.0000,32,8,8,5.835936,171352.11900884451,3.0638664,3_benchmarking_on_FPGA/results/frac-32-8-8-q2_13/baseline/cycles.csv
frac-32-8-8-q2_13,buffer_bram,fractional,Fractional 32-8-8,17192,17192,0,21681,208,0,2216,991,3,0.151,0.0,0.018,10.0,101.5331505736623,0.535,0.437,0.098,27.4,Medium,592,1,7,520,63,1,10,10,350,10,130,10,10,52.0000,32,8,8,5.830608,171508.7002933485,3.11937528,3_benchmarking_on_FPGA/results/frac-32-8-8-q2_13/buffer_bram/cycles.csv
frac-32-8-8-q2_13,buffer_lutram,fractional,Fractional 32-8-8,17192,17192,0,21681,208,0,2216,991,3,0.151,0.0,0.018,10.0,101.5331505736623,0.535,0.437,0.098,27.4,Medium,592,1,7,520,63,1,10,10,350,10,130,10,10,52.0000,32,8,8,5.830608,171508.7002933485,3.11937528,3_benchmarking_on_FPGA/results/frac-32-8-8-q2_13/buffer_lutram/cycles.csv
frac-32-8-8-q2_13,fc1_8,fractional,Fractional 32-8-8,15953,15953,0,20665,184,0,1937,991,3,0.171,0.0,0.039,10.0,101.73974972021568,0.449,0.351,0.098,27.0,Medium,607,1,22,520,63,1,10,10,350,10,130,10,10,52.0000,32,8,8,5.966203,167610.79031337015,2.678825147,3_benchmarking_on_FPGA/results/frac-32-8-8-q2_13/fc1_8/cycles.csv
frac-32-8-8-q2_13,fc2_8,fractional,Fractional 32-8-8,17224,17224,0,21591,208,0,2216,991,3,0.083,0.0,0.03,10.0,100.83694665725523,0.534,0.436,0.098,27.4,Medium,592,1,7,520,63,1,10,10,350,10,130,10,10,52.0000,32,8,8,5.870863999999999,170332.6801642825,3.1350413759999998,3_benchmarking_on_FPGA/results/frac-32-8-8-q2_13/fc2_8/cycles.csv
frac-32-8-8-q2_13,q_1_fc2_8,fractional,Fractional 32-8-8,16991,16991,0,21452,202,0,2192,1015,3,0.072,0.0,0.033,10.0,100.7252215954875,0.523,0.424,0.098,27.4,Medium,652,1,7,520,123,1,10,10,350,10,130,10,10,52.0000,32,8,8,6.473056000000001,154486.536189398,3.3854082880000003,3_benchmarking_on_FPGA/results/frac-32-8-8-q2_13/q_1_fc2_8/cycles.csv
frac-32-8-8-q2_13,q_batch_size_1,fractional,Fractional 32-8-8,16991,16991,0,21452,202,0,2192,1015,3,0.072,0.0,0.033,10.0,100.7252215954875,0.523,0.424,0.098,27.4,Medium,652,1,7,520,123,1,10,10,350,10,130,10,10,52.0000,32,8,8,6.473056000000001,154486.536189398,3.3854082880000003,3_benchmarking_on_FPGA/results/frac-32-8-8-q2_13/q_batch_size_1/cycles.csv
frac-32-8-8-q2_13,reverse_case_neurons,fractional,Fractional 32-8-8,17308,17308,0,21711,208,0,2216,991,3,0.052,0.0,0.029,10.0,100.52271813429834,0.813,0.713,0.099,28.7,Medium,592,1,7,520,63,1,10,10,350,10,130,10,10,52.0000,32,8,8,5.889216,169801.88874036883,4.787932608,3_benchmarking_on_FPGA/results/frac-32-8-8-q2_13/reverse_case_neurons/cycles.csv
bitshift-64-32-4,baseline,bitshift,Bitshift 64-32-4,36733,36733,0,45492,232,0,3081,3639,7,0.26,0.0,0.024,10.0,102.6694045174538,0.603,0.505,0.099,27.8,Medium,3187,1,22,2920,243,1,20,20,2640,20,200,20,20,146.0000,64,32,4,31.04138,32215.062603531158,18.717952139999998,3_benchmarking_on_FPGA/results/bitshift-64-32-4/baseline/cycles.csv
bitshift-64-32-4,buffer_bram,bitshift,Bitshift 64-32-4,36761,36761,0,45606,232,0,3081,3639,7,0.106,0.0,0.01,10.0,101.07135637760258,0.603,0.504,0.099,27.8,Medium,3187,1,22,2920,243,1,20,20,2640,20,200,20,20,146.0000,64,32,4,31.532178000000002,31713.6355122694,19.013903334000002,3_benchmarking_on_FPGA/results/bitshift-64-32-4/buffer_bram/cycles.csv
bitshift-64-32-4,buffer_lutram,bitshift,Bitshift 64-32-4,36761,36761,0,45606,232,0,3081,3639,7,0.106,0.0,0.01,10.0,101.07135637760258,0.603,0.504,0.099,27.8,Medium,3187,1,22,2920,243,1,20,20,2640,20,200,20,20,146.0000,64,32,4,31.532178000000002,31713.6355122694,19.013903334000002,3_benchmarking_on_FPGA/results/bitshift-64-32-4/buffer_lutram/cycles.csv
