config,profile,display_label,fmax_est_mhz,clock_period_ns,wns_ns,tns_ns,whs_ns
frac-32-8-8-q2_13,baseline,Frac 32-8-8,101.44045445323594,10.0,0.142,0.0,0.027
frac-32-8-8-q2_13,fc1_8,Frac 32-8-8,101.73974972021568,10.0,0.171,0.0,0.039
frac-32-8-8-q2_13,fc2_8,Frac 32-8-8,100.83694665725523,10.0,0.083,0.0,0.03
frac-32-8-8-q2_13,q_1_fc2_8,Frac 32-8-8,100.7252215954875,10.0,0.072,0.0,0.033
frac-32-8-8-q2_13,q_batch_size_1,Frac 32-8-8,100.7252215954875,10.0,0.072,0.0,0.033
frac-32-8-8-q2_13,reverse_case_neurons,Frac 32-8-8,100.52271813429834,10.0,0.052,0.0,0.029
bitshift-64-32-4,baseline,Bitshift 64-32-4,102.6694045174538,10.0,0.26,0.0,0.024
bitshift-64-32-4,fc1_8,Bitshift 64-32-4,102.67994660642776,10.0,0.261,0.0,0.01
bitshift-64-32-4,fc2_8,Bitshift 64-32-4,101.8122581958868,10.0,0.178,0.0,0.015
bitshift-64-32-4,q_1_fc2_8,Bitshift 64-32-4,101.20433154539015,10.0,0.119,0.0,0.026
bitshift-64-32-4,q_batch_size_1,Bitshift 64-32-4,101.22482032594392,10.0,0.121,0.0,0.017
bitshift-64-32-4,reverse_case_neurons,Bitshift 64-32-4,100.7252215954875,10.0,0.072,0.0,0.045
lif-32-32,baseline,LIF 32-32,100.05002501250627,10.0,0.005,0.0,0.027
lif-32-32,fc1_8,LIF 32-32,99.98000399920015,10.0,-0.002,-0.002,0.039
lif-32-32,fc2_8,LIF 32-32,98.84353069091627,10.0,-0.117,-0.117,0.046
lif-32-32,q_1_fc2_8,LIF 32-32,100.6036217303823,10.0,0.06,0.0,0.005
lif-32-32,q_batch_size_1,LIF 32-32,99.2950054612253,10.0,-0.071,-0.121,0.039
