config,profile,display_label,slice_luts,lut_as_logic,lut_as_memory,slice_registers,dsp,bram_tiles,fmax_est_mhz,power_total_w,total_cycles,latency_us,throughput_hz,energy_per_inference_uj
frac-32-8-8-q2_13,baseline,Frac 32-8-8,17345,17345,0,21511,208,0,101.44045445323594,0.525,592,5.835936,171352.11900884451,3.0638664
frac-32-8-8-q2_13,fc1_8,Frac 32-8-8,15953,15953,0,20665,184,0,101.73974972021568,0.449,607,5.966203,167610.79031337015,2.678825147
frac-32-8-8-q2_13,fc2_8,Frac 32-8-8,17224,17224,0,21591,208,0,100.83694665725523,0.534,592,5.870863999999999,170332.6801642825,3.1350413759999998
frac-32-8-8-q2_13,q_1_fc2_8,Frac 32-8-8,16991,16991,0,21452,202,0,100.7252215954875,0.523,652,6.473056000000001,154486.536189398,3.3854082880000003
frac-32-8-8-q2_13,q_batch_size_1,Frac 32-8-8,16991,16991,0,21452,202,0,100.7252215954875,0.523,652,6.473056000000001,154486.536189398,3.3854082880000003
frac-32-8-8-q2_13,reverse_case_neurons,Frac 32-8-8,17308,17308,0,21711,208,0,100.52271813429834,0.813,592,5.889216,169801.88874036883,4.787932608
bitshift-64-32-4,baseline,Bitshift 64-32-4,36733,36733,0,45492,232,0,102.6694045174538,0.603,3187,31.04138,32215.062603531158,18.717952139999998
bitshift-64-32-4,fc1_8,Bitshift 64-32-4,36295,36295,0,45209,224,0,102.67994660642776,0.584,3207,31.232973,32017.44515323597,18.240056232
bitshift-64-32-4,fc2_8,Bitshift 64-32-4,36192,36192,0,45150,224,0,101.8122581958868,0.61,5787,56.83991399999999,17593.270813182444,34.67234754
bitshift-64-32-4,q_1_fc2_8,Bitshift 64-32-4,35913,35913,0,44887,218,0,101.20433154539015,0.58,6267,61.924226999999995,16148.76839722198,35.916051659999994
bitshift-64-32-4,q_batch_size_1,Bitshift 64-32-4,36439,36439,0,45269,226,0,101.22482032594392,0.569,3667,36.226293,27604.259701648192,20.612760716999997
bitshift-64-32-4,reverse_case_neurons,Bitshift 64-32-4,36611,36611,0,45908,232,0,100.7252215954875,0.918,3187,31.640536000000004,31605.027171473954,29.046012048000005
lif-32-32,baseline,LIF 32-32,12560,12560,0,21492,104,0,100.05002501250627,0.358,857,8.565714999999999,116744.48659568992,3.0665259699999994
lif-32-32,fc1_8,LIF 32-32,12059,12059,0,21161,96,0,99.98000399920015,0.341,867,8.671734,115317.19031049614,2.9570612940000003
lif-32-32,fc2_8,LIF 32-32,12098,12098,0,21140,96,0,98.84353069091627,0.337,1517,15.347489000000001,65157.23842512609,5.172103793000001
lif-32-32,q_1_fc2_8,LIF 32-32,11844,11844,0,20883,90,0,100.6036217303823,0.307,1757,17.464579999999998,57258.748850530625,5.361626059999999
lif-32-32,q_batch_size_1,LIF 32-32,12263,12263,0,21191,98,0,99.2950054612253,0.32,1097,11.047887,90515.04599929381,3.5353238399999998
