cycle_num,spike_step,spike_time_ns,cycle_length,phase,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37,membrane_potential_38,membrane_potential_39,membrane_potential_40,membrane_potential_41,membrane_potential_42,membrane_potential_43,membrane_potential_44,membrane_potential_45,membrane_potential_46,membrane_potential_47,membrane_potential_48,membrane_potential_49,membrane_potential_50,membrane_potential_51,membrane_potential_52,membrane_potential_53,membrane_potential_54,membrane_potential_55,membrane_potential_56,membrane_potential_57,membrane_potential_58,membrane_potential_59,membrane_potential_60,membrane_potential_61,membrane_potential_62,membrane_potential_63,membrane_potential_64,membrane_potential_65,membrane_potential_66,membrane_potential_67,membrane_potential_68,membrane_potential_69,membrane_potential_70,membrane_potential_71,membrane_potential_72,membrane_potential_73,membrane_potential_74,membrane_potential_75,membrane_potential_76,membrane_potential_77,membrane_potential_78,membrane_potential_79,membrane_potential_80,membrane_potential_81,membrane_potential_82,membrane_potential_83,membrane_potential_84,membrane_potential_85,membrane_potential_86,membrane_potential_87,membrane_potential_88,membrane_potential_89,membrane_potential_90,membrane_potential_91,membrane_potential_92,membrane_potential_93,membrane_potential_94,membrane_potential_95,membrane_potential_96,membrane_potential_97,membrane_potential_98,membrane_potential_99,membrane_potential_100,membrane_potential_101,membrane_potential_102,membrane_potential_103,membrane_potential_104,membrane_potential_105,membrane_potential_106,membrane_potential_107,membrane_potential_108,membrane_potential_109,membrane_potential_110,membrane_potential_111,membrane_potential_112,membrane_potential_113,membrane_potential_114,membrane_potential_115,membrane_potential_116,membrane_potential_117,membrane_potential_118,membrane_potential_119,membrane_potential_120,membrane_potential_121,membrane_potential_122,membrane_potential_123,membrane_potential_124,membrane_potential_125,membrane_potential_126,membrane_potential_127,membrane_potential_128,membrane_potential_129,membrane_potential_130,membrane_potential_131,membrane_potential_132,membrane_potential_133,membrane_potential_134,membrane_potential_135,membrane_potential_136,membrane_potential_137,membrane_potential_138,membrane_potential_139,membrane_potential_140,membrane_potential_141,membrane_potential_142,membrane_potential_143,membrane_potential_144,membrane_potential_145,membrane_potential_146,membrane_potential_147,membrane_potential_148,membrane_potential_149,membrane_potential_150,membrane_potential_151
1,36,96630.0,37,startup,2014,2014,2898,3119,3618,3881,4221,4470,4733,4956,5174,5371,5559,5734,5901,6057,6207,6348,6483,6611,6735,6853,6966,7075,7180,7281,7378,7472,7562,7650,7735,7817,7897,7974,8050,8123,8194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,38,101850.0,2,startup,71,8330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,56,148830.0,18,startup,-3393,7560,2896,6612,5228,6615,6301,6892,6906,7210,7314,7505,7625,7767,7880,7997,8100,8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,58,154050.0,2,startup,101,8383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,75,198420.0,17,startup,-3323,7649,2998,6728,5356,6753,6449,7046,7068,7378,7487,7684,7807,7953,8070,8189,8295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,77,203640.0,2,startup,205,8492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,92,242790.0,15,startup,-3207,7769,3123,6857,5488,6888,6587,7187,7211,7522,7634,7831,7956,8103,8220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,94,248010.0,2,startup,149,8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,109,287160.0,15,startup,-3240,7745,3109,6850,5489,6896,6600,7206,7234,7551,7665,7867,7995,8146,8265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,111,292380.0,2,startup,197,8496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,125,328920.0,14,startup,-3187,7800,3165,6909,5550,6957,6664,7269,7300,7616,7733,7935,8064,8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,127,334140.0,2,startup,144,8459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,141,370680.0,14,startup,-3221,7774,3145,6894,5538,6952,6661,7272,7304,7625,7743,7949,8080,8233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
