cycle_num,spike_step,cycle_length,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
1,36,37,2014,2014,2898,3119,3618,3881,4221,4470,4733,4956,5174,5371,5559,5734,5901,6057,6207,6348,6483,6611,6735,6853,6966,7075,7180,7281,7378,7472,7562,7650,7735,7817,7897,7974,8050,8123,8194
2,38,2,71,8330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,56,18,-3393,7560,2896,6612,5228,6615,6301,6892,6906,7210,7314,7505,7625,7767,7880,7997,8100,8200,,,,,,,,,,,,,,,,,,,
4,58,2,101,8383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,75,17,-3323,7649,2998,6728,5356,6753,6449,7046,7068,7378,7487,7684,7807,7953,8070,8189,8295,,,,,,,,,,,,,,,,,,,,
6,77,2,205,8492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,92,15,-3207,7769,3123,6857,5488,6888,6587,7187,7211,7522,7634,7831,7956,8103,8220,,,,,,,,,,,,,,,,,,,,,,
8,94,2,149,8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,109,15,-3240,7745,3109,6850,5489,6896,6600,7206,7234,7551,7665,7867,7995,8146,8265,,,,,,,,,,,,,,,,,,,,,,
10,111,2,197,8496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,125,14,-3187,7800,3165,6909,5550,6957,6664,7269,7300,7616,7733,7935,8064,8215,,,,,,,,,,,,,,,,,,,,,,,
12,127,2,144,8459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,141,14,-3221,7774,3145,6894,5538,6952,6661,7272,7304,7625,7743,7949,8080,8233,,,,,,,,,,,,,,,,,,,,,,,
14,143,2,163,8481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,157,14,-3198,7800,3172,6922,5568,6982,6692,7303,7338,7658,7778,7984,8116,8269,,,,,,,,,,,,,,,,,,,,,,,
16,159,2,201,8519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,173,14,-3159,7838,3211,6962,5608,7022,6733,7346,7380,7702,7822,8028,8160,8313,,,,,,,,,,,,,,,,,,,,,,,
18,175,2,245,8563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,188,13,-3115,7883,3255,7007,5653,7067,6778,7390,7425,7746,7866,8073,8204,,,,,,,,,,,,,,,,,,,,,,,,
20,190,2,167,8482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,204,14,-3181,7820,3201,6957,5609,7028,6743,7359,7396,7721,7843,8052,8187,8343,,,,,,,,,,,,,,,,,,,,,,,
22,206,2,278,8597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,219,13,-3078,7921,3295,7048,5695,7112,6823,7437,7472,7794,7915,8121,8254,,,,,,,,,,,,,,,,,,,,,,,,
24,221,2,217,8534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,234,13,-3129,7873,3254,7011,5663,7083,6798,7415,7454,7778,7901,8110,8246,,,,,,,,,,,,,,,,,,,,,,,,
26,236,2,209,8528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,249,13,-3133,7871,3254,7012,5666,7086,6804,7420,7461,7786,7910,8120,8254,,,,,,,,,,,,,,,,,,,,,,,,
28,251,2,221,8538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,264,13,-3121,7881,3266,7023,5679,7098,6817,7432,7474,7798,7923,8132,8268,,,,,,,,,,,,,,,,,,,,,,,,
30,266,2,232,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,279,13,-3111,7892,3274,7032,5686,7105,6822,7439,7478,7803,7927,8136,8271,,,,,,,,,,,,,,,,,,,,,,,,
32,281,2,235,8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,294,13,-3109,7894,3276,7034,5687,7107,6823,7440,7478,7803,7926,8135,8270,,,,,,,,,,,,,,,,,,,,,,,,
34,296,2,234,8552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,309,13,-3110,7894,3276,7033,5687,7106,6823,7439,7478,7803,7927,8136,8270,,,,,,,,,,,,,,,,,,,,,,,,
36,311,2,235,8552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,324,13,-3110,7893,3275,7032,5685,7105,6821,7438,7476,7802,7925,8135,8269,,,,,,,,,,,,,,,,,,,,,,,,
38,326,2,234,8552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,339,13,-3110,7893,3275,7032,5685,7104,6820,7436,7476,7800,7924,8133,8269,,,,,,,,,,,,,,,,,,,,,,,,
40,341,2,233,8551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,354,13,-3110,7893,3274,7032,5684,7103,6820,7434,7475,7798,7923,8132,8268,,,,,,,,,,,,,,,,,,,,,,,,
